season,gameId,playerId,name,status
1996-97,0029600012,922,Elden Campbell,RESOLVED
1996-97,0029600012,76,Cedric Ceballos,RESOLVED
1996-97,0029600012,406,Shaquille O'Neal,RESOLVED
1996-97,0029600012,224,Eddie Jones,RESOLVED
1996-97,0029600012,89,Nick Van Exel,RESOLVED
1996-97,0029600012,965,Derek Fisher,RESOLVED
1996-97,0029600012,2,Byron Scott,RESOLVED
1996-97,0029600012,399,Sean Rooks,RESOLVED
1996-97,0029600012,916,Corie Blount,RESOLVED
1996-97,0029600012,716,Rumeal Robinson,RESOLVED
1996-97,0029600012,969,Travis Knight,RESOLVED
1996-97,0029600012,1272,,RESOLVED
1996-97,0029600012,1269,,RESOLVED
1996-97,0029600012,1271,,RESOLVED
1996-97,0029600012,1270,,RESOLVED
1996-97,0029600012,833,,RESOLVED
1996-97,0029600012,1273,,RESOLVED
1996-97,0029600012,832,,RESOLVED
1996-97,0029600012,835,,RESOLVED
1996-97,0029600012,834,,RESOLVED
1996-97,0029600012,977,Kobe Bryant,RESOLVED
1996-97,0029600012,109,Robert Horry,RESOLVED
1996-97,0029600012,920,A.C. Green,RESOLVED
1996-97,0029600012,170,Joe Kleine,RESOLVED
1996-97,0029600012,445,Wesley Person,RESOLVED
1996-97,0029600012,208,Sam Cassell,RESOLVED
1996-97,0029600012,714,Michael Finley,RESOLVED
1996-97,0029600012,47,Wayman Tisdale,RESOLVED
1996-97,0029600012,330,Danny Manning,RESOLVED
1996-97,0029600012,959,Steve Nash,RESOLVED
1996-97,0029600012,364,Rex Chapman,RESOLVED
1996-97,0029600012,862,,RESOLVED
1996-97,0029600012,1314,,RESOLVED
1996-97,0029600012,863,,RESOLVED
1996-97,0029600012,1318,,RESOLVED
1996-97,0029600012,1316,,RESOLVED
1996-97,0029600012,2625,,RESOLVED
1996-97,0029600012,1317,,RESOLVED
1996-97,0029600012,359,Chucky Brown,RESOLVED
1996-97,0029600012,989,Ben Davis,RESOLVED
1996-97,0029600005,105,Dan Majerle,RESOLVED
1996-97,0029600005,703,Kurt Thomas,RESOLVED
1996-97,0029600005,297,Alonzo Mourning,RESOLVED
1996-97,0029600005,390,Sasha Danilovic,RESOLVED
1996-97,0029600005,896,Tim Hardaway,RESOLVED
1996-97,0029600005,136,P.J. Brown,RESOLVED
1996-97,0029600005,173,Keith Askins,RESOLVED
1996-97,0029600005,1134,Ike Austin,RESOLVED
1996-97,0029600005,202,Gary Grant,RESOLVED
1996-97,0029600005,836,,RESOLVED
1996-97,0029600005,1278,,RESOLVED
1996-97,0029600005,1276,,RESOLVED
1996-97,0029600005,784,,RESOLVED
1996-97,0029600005,840,,RESOLVED
1996-97,0029600005,839,,RESOLVED
1996-97,0029600005,1280,,RESOLVED
1996-97,0029600005,838,,RESOLVED
1996-97,0029600005,1275,,RESOLVED
1996-97,0029600005,1277,,RESOLVED
1996-97,0029600005,837,,RESOLVED
1996-97,0029600005,1281,,RESOLVED
1996-97,0029600005,1279,,RESOLVED
1996-97,0029600005,841,,RESOLVED
1996-97,0029600005,702,Voshon Lenard,RESOLVED
1996-97,0029600005,291,Ed Pinckney,RESOLVED
1996-97,0029600005,1110,Mark Strickland,RESOLVED
1996-97,0029600005,895,Tyrone Corbin,RESOLVED
1996-97,0029600005,363,Christian Laettner,RESOLVED
1996-97,0029600005,87,Dikembe Mutombo,RESOLVED
1996-97,0029600005,120,Steven Smith,RESOLVED
1996-97,0029600005,302,Mookie Blaylock,RESOLVED
1996-97,0029600005,80,Ken Norman,RESOLVED
1996-97,0029600005,468,Jon Barry,RESOLVED
1996-97,0029600005,1096,Ivano Newbill,RESOLVED
1996-97,0029600005,695,Eldridge Recasner,RESOLVED
1996-97,0029600005,790,,RESOLVED
1996-97,0029600005,1368,,RESOLVED
1996-97,0029600005,671,Donnie Boyce,RESOLVED
1996-97,0029600005,673,Alan Henderson,RESOLVED
1996-97,0029600005,968,Priest Lauderdale,RESOLVED
1996-97,0029600003,221,Clar. Weatherspoon,RESOLVED
1996-97,0029600003,934,Derrick Coleman,RESOLVED
1996-97,0029600003,262,Michael Cage,RESOLVED
1996-97,0029600003,711,Jerry Stackhouse,RESOLVED
1996-97,0029600003,947,Allen Iverson,RESOLVED
1996-97,0029600003,931,Don MacLean,RESOLVED
1996-97,0029600003,281,Scott Williams,RESOLVED
1996-97,0029600003,446,Lucious Harris,RESOLVED
1996-97,0029600003,77,Doug Overton,RESOLVED
1996-97,0029600003,707,Mark Davis,RESOLVED
1996-97,0029600003,861,,RESOLVED
1996-97,0029600003,1312,,RESOLVED
1996-97,0029600003,1309,,RESOLVED
1996-97,0029600003,1311,,RESOLVED
1996-97,0029600003,1310,,RESOLVED
1996-97,0029600003,1313,,RESOLVED
1996-97,0029600003,860,,RESOLVED
1996-97,0029600003,1361,Mark Bradtke,RESOLVED
1996-97,0029600003,777,Rex Walters,RESOLVED
1996-97,0029600003,452,Vin Baker,RESOLVED
1996-97,0029600003,299,Glenn Robinson,RESOLVED
1996-97,0029600003,457,Andrew Lang,RESOLVED
1996-97,0029600003,951,Ray Allen,RESOLVED
1996-97,0029600003,428,Sherman Douglas,RESOLVED
1996-97,0029600003,271,Johnny Newman,RESOLVED
1996-97,0029600003,288,Armen Gilliam,RESOLVED
1996-97,0029600003,386,Elliot Perry,RESOLVED
1996-97,0029600003,341,Joe Wolf,RESOLVED
1996-97,0029600003,241,Darrin Hancock,RESOLVED
1996-97,0029600003,116,David Wood,RESOLVED
1996-97,0029600003,1084,,RESOLVED
1996-97,0029600003,843,,RESOLVED
1996-97,0029600003,1282,,RESOLVED
1996-97,0029600003,845,,RESOLVED
1996-97,0029600003,823,,RESOLVED
1996-97,0029600003,1082,,RESOLVED
1996-97,0029600003,1083,,RESOLVED
1996-97,0029600003,1284,,RESOLVED
1996-97,0029600003,1286,,RESOLVED
1996-97,0029600003,704,Shawn Respert,RESOLVED
1996-97,0029600008,708,Kevin Garnett,RESOLVED
1996-97,0029600008,339,Tom Gugliotta,RESOLVED
1996-97,0029600008,1037,Stojko Vrankovic,RESOLVED
1996-97,0029600008,28,Doug West,RESOLVED
1996-97,0029600008,950,Stephon Marbury,RESOLVED
1996-97,0029600008,345,Terry Porter,RESOLVED
1996-97,0029600008,381,James Robinson,RESOLVED
1996-97,0029600008,417,Sam Mitchell,RESOLVED
1996-97,0029600008,685,Cherokee Parks,RESOLVED
1996-97,0029600008,713,Chris Carr,RESOLVED
1996-97,0029600008,1049,Shane Heal,RESOLVED
1996-97,0029600008,1290,,RESOLVED
1996-97,0029600008,847,,RESOLVED
1996-97,0029600008,849,,RESOLVED
1996-97,0029600008,1288,,RESOLVED
1996-97,0029600008,848,,RESOLVED
1996-97,0029600008,1289,,RESOLVED
1996-97,0029600008,1291,,RESOLVED
1996-97,0029600008,1292,,RESOLVED
1996-97,0029600008,846,,RESOLVED
1996-97,0029600008,1051,Dean Garrett,RESOLVED
1996-97,0029600008,61,Carl Herrera,RESOLVED
1996-97,0029600008,251,Sean Elliott,RESOLVED
1996-97,0029600008,246,Greg Anderson,RESOLVED
1996-97,0029600008,219,Vinny Del Negro,RESOLVED
1996-97,0029600008,422,Avery Johnson,RESOLVED
1996-97,0029600008,137,Vernon Maxwell,RESOLVED
1996-97,0029600008,1122,Dominique Wilkins,RESOLVED
1996-97,0029600008,293,Charles Smith,RESOLVED
1996-97,0029600008,724,Cory Alexander,RESOLVED
1996-97,0029600008,42,Monty Williams,RESOLVED
1996-97,0029600008,875,,RESOLVED
1996-97,0029600008,1331,,RESOLVED
1996-97,0029600008,877,,RESOLVED
1996-97,0029600008,1333,,RESOLVED
1996-97,0029600008,1371,,RESOLVED
1996-97,0029600008,1330,,RESOLVED
1996-97,0029600008,1118,Tim Kempton,RESOLVED
1996-97,0029600008,781,Will Perdue,RESOLVED
1996-97,0029600002,709,Ed O'Bannon,RESOLVED
1996-97,0029600002,420,Jayson Williams,RESOLVED
1996-97,0029600002,762,Shawn Bradley,RESOLVED
1996-97,0029600002,383,Kendall Gill,RESOLVED
1996-97,0029600002,123,Robert Pack,RESOLVED
1996-97,0029600002,355,Vincent Askew,RESOLVED
1996-97,0029600002,954,Kerry Kittles,RESOLVED
1996-97,0029600002,1365,Xavier McDaniel,RESOLVED
1996-97,0029600002,234,Khalid Reeves,RESOLVED
1996-97,0029600002,763,Tony Massenburg,RESOLVED
1996-97,0029600002,850,,RESOLVED
1996-97,0029600002,1296,,RESOLVED
1996-97,0029600002,1028,,RESOLVED
1996-97,0029600002,1020,,RESOLVED
1996-97,0029600002,1295,,RESOLVED
1996-97,0029600002,1294,,RESOLVED
1996-97,0029600002,154,Adrian Caldwell,RESOLVED
1996-97,0029600002,212,Yinka Dare,RESOLVED
1996-97,0029600002,168,Chris Mills,RESOLVED
1996-97,0029600002,238,Tyrone Hill,RESOLVED
1996-97,0029600002,770,Mark West,RESOLVED
1996-97,0029600002,682,Bob Sura,RESOLVED
1996-97,0029600002,210,Terrell Brandon,RESOLVED
1996-97,0029600002,198,Danny Ferry,RESOLVED
1996-97,0029600002,1002,Reggie Geary,RESOLVED
1996-97,0029600002,958,Vitaly Potapenko,RESOLVED
1996-97,0029600002,681,Donny Marshall,RESOLVED
1996-97,0029600002,226,Antonio Lang,RESOLVED
1996-97,0029600002,1063,Carl Thomas,RESOLVED
1996-97,0029600002,1225,,RESOLVED
1996-97,0029600002,1224,,RESOLVED
1996-97,0029600002,805,,RESOLVED
1996-97,0029600002,1227,,RESOLVED
1996-97,0029600002,1226,,RESOLVED
1996-97,0029600002,1228,,RESOLVED
1996-97,0029600002,806,,RESOLVED
1996-97,0029600002,807,,RESOLVED
1996-97,0029600002,184,Bobby Phills,RESOLVED
1996-97,0029600006,1005,Walt Williams,RESOLVED
1996-97,0029600006,461,Popeye Jones,RESOLVED
1996-97,0029600006,440,Zan Tabak,RESOLVED
1996-97,0029600006,57,Doug Christie,RESOLVED
1996-97,0029600006,757,Damon Stoudamire,RESOLVED
1996-97,0029600006,435,Carlos Rogers,RESOLVED
1996-97,0029600006,93,Hubert Davis,RESOLVED
1996-97,0029600006,948,Marcus Camby,RESOLVED
1996-97,0029600006,412,Sharone Wright,RESOLVED
1996-97,0029600006,1126,Donald Whiteside,RESOLVED
1996-97,0029600006,884,,RESOLVED
1996-97,0029600006,882,,RESOLVED
1996-97,0029600006,883,,RESOLVED
1996-97,0029600006,1344,,RESOLVED
1996-97,0029600006,1029,,RESOLVED
1996-97,0029600006,1340,,RESOLVED
1996-97,0029600006,1341,,RESOLVED
1996-97,0029600006,1342,,RESOLVED
1996-97,0029600006,104,Benoit Benjamin,RESOLVED
1996-97,0029600006,768,Acie Earl,RESOLVED
1996-97,0029600006,913,Larry Johnson,RESOLVED
1996-97,0029600006,433,Buck Williams,RESOLVED
1996-97,0029600006,121,Patrick Ewing,RESOLVED
1996-97,0029600006,275,Allan Houston,RESOLVED
1996-97,0029600006,369,Charlie Ward,RESOLVED
1996-97,0029600006,317,John Starks,RESOLVED
1996-97,0029600006,1006,Herb Williams,RESOLVED
1996-97,0029600006,961,John Wallace,RESOLVED
1996-97,0029600006,418,Scott Brooks,RESOLVED
1996-97,0029600006,851,,RESOLVED
1996-97,0029600006,1299,,RESOLVED
1996-97,0029600006,1300,,RESOLVED
1996-97,0029600006,852,,RESOLVED
1996-97,0029600006,855,,RESOLVED
1996-97,0029600006,853,,RESOLVED
1996-97,0029600006,1298,,RESOLVED
1996-97,0029600006,1137,Chris Jent,RESOLVED
1996-97,0029600006,962,Walter McCarty,RESOLVED
1996-97,0029600006,891,Charles Oakley,RESOLVED
1996-97,0029600004,140,Donald Royal,RESOLVED
1996-97,0029600004,270,Horace Grant,RESOLVED
1996-97,0029600004,280,Felton Spencer,RESOLVED
1996-97,0029600004,98,Nick Anderson,RESOLVED
1996-97,0029600004,358,Anfernee Hardaway,RESOLVED
1996-97,0029600004,710,David Vaughn,RESOLVED
1996-97,0029600004,786,Gerald Wilkins,RESOLVED
1996-97,0029600004,216,Brian Shaw,RESOLVED
1996-97,0029600004,400,Derek Strong,RESOLVED
1996-97,0029600004,353,Darrell Armstrong,RESOLVED
1996-97,0029600004,858,,RESOLVED
1996-97,0029600004,1307,,RESOLVED
1996-97,0029600004,857,,RESOLVED
1996-97,0029600004,859,,RESOLVED
1996-97,0029600004,1305,,RESOLVED
1996-97,0029600004,856,,RESOLVED
1996-97,0029600004,1304,,RESOLVED
1996-97,0029600004,1306,,RESOLVED
1996-97,0029600004,1308,,RESOLVED
1996-97,0029600004,7,Dan Schayes,RESOLVED
1996-97,0029600004,192,Dennis Scott,RESOLVED
1996-97,0029600004,265,Harvey Grant,RESOLVED
1996-97,0029600004,436,Juwan Howard,RESOLVED
1996-97,0029600004,185,Chris Webber,RESOLVED
1996-97,0029600004,384,Calbert Cheaney,RESOLVED
1996-97,0029600004,393,Rod Strickland,RESOLVED
1996-97,0029600004,1114,Jaren Jackson,RESOLVED
1996-97,0029600004,1112,Ben Wallace,RESOLVED
1996-97,0029600004,145,Tracy Murray,RESOLVED
1996-97,0029600004,43,Chris Whitney,RESOLVED
1996-97,0029600004,1358,,RESOLVED
1996-97,0029600004,1019,,RESOLVED
1996-97,0029600004,1359,,RESOLVED
1996-97,0029600004,1360,,RESOLVED
1996-97,0029600004,1357,,RESOLVED
1996-97,0029600004,1017,,RESOLVED
1996-97,0029600004,1373,,RESOLVED
1996-97,0029600004,732,Ashraf Amaya,RESOLVED
1996-97,0029600004,900,Matt Fish,RESOLVED
1996-97,0029600004,31,Lorenzo Williams,RESOLVED
1996-97,0029600007,255,Grant Hill,RESOLVED
1996-97,0029600007,3,Grant Long,RESOLVED
1996-97,0029600007,901,Otis Thorpe,RESOLVED
1996-97,0029600007,688,Michael Curry,RESOLVED
1996-97,0029600007,247,Joe Dumars,RESOLVED
1996-97,0029600007,278,Stacey Augmon,RESOLVED
1996-97,0029600007,283,Lindsey Hunter,RESOLVED
1996-97,0029600007,328,Rick Mahorn,RESOLVED
1996-97,0029600007,371,Terry Mills,RESOLVED
1996-97,0029600007,689,Theo Ratliff,RESOLVED
1996-97,0029600007,817,,RESOLVED
1996-97,0029600007,816,,RESOLVED
1996-97,0029600007,1244,,RESOLVED
1996-97,0029600007,815,,RESOLVED
1996-97,0029600007,1243,,RESOLVED
1996-97,0029600007,1246,,RESOLVED
1996-97,0029600007,1247,,RESOLVED
1996-97,0029600007,1245,,RESOLVED
1996-97,0029600007,2382,,RESOLVED
