season,gameId,residual,classification,note
1996-97,0029600070,7,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
1996-97,0029600332,2,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
1996-97,0029600370,3,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2003-04,0020300778,3,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2009-10,0020900216,1,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2012-13,0021201214,,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900805,89,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900806,85,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900821,2,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900820,104,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900840,110,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900839,86,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900841,110,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900842,89,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900844,117,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900843,111,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900848,95,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900846,110,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900849,104,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900851,115,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900852,108,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900850,102,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900868,111,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900866,97,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900864,90,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900871,88,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900869,89,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900872,101,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900870,127,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900880,30,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900882,19,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900877,82,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900878,61,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900881,30,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900883,40,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900879,39,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900891,96,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900889,96,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900893,102,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900890,102,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900894,91,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900888,110,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900892,97,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900900,113,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900896,99,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900897,117,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900899,84,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900898,112,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900901,100,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900906,92,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900903,106,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900904,114,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900908,96,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900902,114,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900919,104,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900924,99,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900922,101,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900920,106,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900921,92,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900925,97,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900917,91,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900923,117,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900918,102,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900926,96,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900948,88,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900951,77,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900950,115,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900946,90,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900953,101,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900952,100,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900956,97,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900954,99,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900949,89,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900968,95,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900963,97,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900961,92,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900964,100,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900960,101,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900966,107,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900962,96,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900969,111,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900971,98,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021900973,96,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
2019-20,0021901238,144,UNKNOWN_OR_SOURCE_INCONSISTENCY,From season_validation scoreboard.csv; detailed cause pending Phase-12 deep dive
