season,substitutionEvents,parsed,playerInResolved,playerOutResolved,inRate,outRate
1996-97,84362,84362,41088,42181,0.48704392973139565,0.5
1997-98,91821,91821,44447,45910,0.4840613802942682,0.4999945546225809
1998-99,57776,57776,27967,28888,0.48405912489615066,0.5
1999-00,90796,90796,43724,45398,0.4815630644521785,0.5
2000-01,86073,86073,41577,43036,0.4830434631068976,0.49999419097742615
2001-02,85392,85392,41365,42696,0.48441305977140714,0.5
2002-03,86180,86180,41663,43090,0.4834416337897424,0.5
2003-04,88726,88726,42917,44363,0.48370263507878186,0.5
2004-05,96500,96500,47083,48250,0.48790673575129534,0.5
2005-06,96250,96250,46895,48125,0.4872207792207792,0.5
2006-07,97682,97682,47261,48841,0.483825065006859,0.5
2007-08,93706,93706,45020,46853,0.48043881928585147,0.5
2008-09,92220,92220,44598,46110,0.4836044242029928,0.5
2009-10,93976,93976,45337,46988,0.4824316846854516,0.5
2010-11,98336,98336,47580,49168,0.4838512853888708,0.5
2011-12,79776,79776,38329,39888,0.4804577817890092,0.5
2012-13,99022,99022,46996,49511,0.4746016036840298,0.5
2013-14,100428,100428,47454,50214,0.47251762456685387,0.5
2014-15,107834,107834,50627,53917,0.4694901422556893,0.5
2015-16,110056,110056,51152,55026,0.4647815657483463,0.49998182743330666
2016-17,109862,109862,50671,54931,0.4612240811199505,0.5
2017-18,110706,110706,51335,55353,0.46370567087601394,0.5
2018-19,114218,114218,52093,57109,0.45608397975800663,0.5
2019-20,103098,103098,44257,57521,0.42927117887834876,0.55792546897127
2020-21,115426,115426,57713,57713,0.5,0.5
2021-22,133010,133010,66505,66505,0.5,0.5
2022-23,134056,134056,67028,67028,0.5,0.5
2023-24,135076,135076,67538,67538,0.5,0.5
