season,possessions,FULL_5V5,PARTIAL_OR_UNUSABLE,RAW_LINEUP_COMPLETENESS_RATE,CANONICAL_ATTRIBUTION_SUPPORT_RATE,note
1996-97,213619,130524,83095,0.6110130653172237,0.6110130653172237,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
1997-98,213854,127568,86286,0.5965191205214773,0.5965191205214773,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
1998-99,128385,77285,51100,0.6019784242707481,0.6019784242707481,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
1999-00,220409,133614,86795,0.6062093653162983,0.6062093653162983,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2000-01,216164,129934,86230,0.6010899132140411,0.6010899132140411,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2001-02,214324,129874,84450,0.605970399955208,0.605970399955208,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2002-03,215350,126250,89100,0.586254933828651,0.586254933828651,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2003-04,212992,126126,86866,0.5921630859375,0.5921630859375,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2004-05,222704,139690,83014,0.6272451325526259,0.6272451325526259,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2005-06,221419,132381,89038,0.5978755210709108,0.5978755210709108,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2006-07,225046,132584,92462,0.5891417754592394,0.5891417754592394,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2007-08,225762,133184,92578,0.5899309892718881,0.5899309892718881,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2008-09,224230,127712,96518,0.5695580430807653,0.5695580430807653,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2009-10,226197,129920,96277,0.5743665919530321,0.5743665919530321,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2010-11,224591,135105,89486,0.6015601693745519,0.6015601693745519,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2011-12,179325,111646,67679,0.6225902690645476,0.6225902690645476,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2012-13,224581,125797,98784,0.5601408845806191,0.5601408845806191,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2013-14,229403,129009,100394,0.5623684084340658,0.5623684084340658,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2014-15,228958,123902,105056,0.5411560198813756,0.5411560198813756,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2015-16,233345,118260,115085,0.5068032312670081,0.5068032312670081,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2016-17,234488,116156,118332,0.49536010371532874,0.49536010371532874,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2017-18,236450,123605,112845,0.5227532247832523,0.5227532247832523,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2018-19,243520,113726,129794,0.46700886990801577,0.46700886990801577,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2019-20,200204,146169,54035,0.7301002976963498,0.7301002976963498,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2020-21,216056,214179,1877,0.9913124375161995,0.9913124375161995,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2021-22,243888,241090,2798,0.9885275208292331,0.9885275208292331,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2022-23,246796,243396,3400,0.9862234396019385,0.9862234396019385,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
2023-24,244778,241457,3321,0.9864326042373089,0.9864326042373089,Canonical attribution support currently proxied by FULL_5V5 rate pending finer engine instrumentation
