season,possessions,supported5v5,unsupported,scoreboardPassRate
1996-97,213619,130524,83095,0.9974768713204374
1997-98,213854,127568,86286,1
1998-99,128385,77285,51100,1
1999-00,220409,133614,86795,1
2000-01,216164,129934,86230,1
2001-02,214324,129874,84450,1
2002-03,215350,126250,89100,1
2003-04,212992,126126,86866,0.9991589571068125
2004-05,222704,139690,83014,1
2005-06,221419,132381,89038,1
2006-07,225046,132584,92462,1
2007-08,225762,133184,92578,1
2008-09,224230,127712,96518,1
2009-10,226197,129920,96277,0.9991869918699187
2010-11,224591,135105,89486,1
2011-12,179325,111646,67679,1
2012-13,224581,125797,98784,1
2013-14,229403,129009,100394,1
2014-15,228958,123902,105056,1
2015-16,233345,118260,115085,1
2016-17,234488,116156,118332,1
2017-18,236450,123605,112845,1
2018-19,243520,113726,129794,1
2019-20,200204,146169,54035,0.9235127478753541
2020-21,216056,214179,1877,1
2021-22,243888,241090,2798,1
2022-23,246796,243396,3400,1
2023-24,244778,241457,3321,1
