season,usage,three,starter,mpg,listedPositionFallback
1996-97,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
1997-98,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
1998-99,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
1999-00,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2000-01,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2001-02,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2002-03,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2003-04,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2004-05,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2005-06,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2006-07,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2007-08,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2008-09,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2009-10,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2010-11,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2011-12,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2012-13,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2013-14,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2014-15,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2015-16,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2016-17,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2017-18,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2018-19,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2019-20,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2020-21,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2021-22,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2022-23,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
2023-24,NATIVE_FROM_BOX,NATIVE_FROM_BOX,NATIVE_FROM_BOX,EXACT_DERIVATION_FROM_BOX,NO
