season,R1_FORMULA_IDENTICAL,minExposure,k,note
1996-97,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
1997-98,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
1998-99,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
1999-00,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2000-01,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2001-02,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2002-03,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2003-04,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2004-05,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2005-06,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2006-07,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2007-08,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2008-09,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2009-10,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2010-11,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2011-12,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2012-13,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2013-14,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2014-15,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2015-16,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2016-17,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2017-18,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2018-19,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2019-20,YES_IF_COMPUTED,40,8,Formula identity reserved; historical compute withheld for Tier C/D
2020-21,YES,40,8,Frozen-v1 compute executed; formula identity preserved
2021-22,YES,40,8,Frozen-v1 compute executed; formula identity preserved
2022-23,YES,40,8,Frozen-v1 compute executed; formula identity preserved
2023-24,YES,40,8,Frozen-v1 compute executed; formula identity preserved
