season,clock,scoreDiff,period,lineup,APPROXIMATE_NEW,EPV_CHANGED
1996-97,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
1997-98,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
1998-99,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
1999-00,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2000-01,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2001-02,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2002-03,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2003-04,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2004-05,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2005-06,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2006-07,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2007-08,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2008-09,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2009-10,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2010-11,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2011-12,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2012-13,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2013-14,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2014-15,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2015-16,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2016-17,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2017-18,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2018-19,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2019-20,NATIVE,NATIVE,NATIVE,PARTIAL,NO,NO
2020-21,NATIVE,NATIVE,NATIVE,NATIVE,NO,NO
2021-22,NATIVE,NATIVE,NATIVE,NATIVE,NO,NO
2022-23,NATIVE,NATIVE,NATIVE,NATIVE,NO,NO
2023-24,NATIVE,NATIVE,NATIVE,NATIVE,NO,NO
