season,stintSupport,note
1996-97,PARTIAL,Primitive player-team attribution requires usable possession lineups
1997-98,PARTIAL,Primitive player-team attribution requires usable possession lineups
1998-99,PARTIAL,Primitive player-team attribution requires usable possession lineups
1999-00,PARTIAL,Primitive player-team attribution requires usable possession lineups
2000-01,PARTIAL,Primitive player-team attribution requires usable possession lineups
2001-02,PARTIAL,Primitive player-team attribution requires usable possession lineups
2002-03,PARTIAL,Primitive player-team attribution requires usable possession lineups
2003-04,PARTIAL,Primitive player-team attribution requires usable possession lineups
2004-05,PARTIAL,Primitive player-team attribution requires usable possession lineups
2005-06,PARTIAL,Primitive player-team attribution requires usable possession lineups
2006-07,PARTIAL,Primitive player-team attribution requires usable possession lineups
2007-08,PARTIAL,Primitive player-team attribution requires usable possession lineups
2008-09,PARTIAL,Primitive player-team attribution requires usable possession lineups
2009-10,PARTIAL,Primitive player-team attribution requires usable possession lineups
2010-11,PARTIAL,Primitive player-team attribution requires usable possession lineups
2011-12,PARTIAL,Primitive player-team attribution requires usable possession lineups
2012-13,PARTIAL,Primitive player-team attribution requires usable possession lineups
2013-14,PARTIAL,Primitive player-team attribution requires usable possession lineups
2014-15,PARTIAL,Primitive player-team attribution requires usable possession lineups
2015-16,PARTIAL,Primitive player-team attribution requires usable possession lineups
2016-17,PARTIAL,Primitive player-team attribution requires usable possession lineups
2017-18,PARTIAL,Primitive player-team attribution requires usable possession lineups
2018-19,PARTIAL,Primitive player-team attribution requires usable possession lineups
2019-20,PARTIAL,Primitive player-team attribution requires usable possession lineups
2020-21,FULL,Primitive player-team attribution requires usable possession lineups
2021-22,FULL,Primitive player-team attribution requires usable possession lineups
2022-23,FULL,Primitive player-team attribution requires usable possession lineups
2023-24,FULL,Primitive player-team attribution requires usable possession lineups
