season,rawCoverage,scoreboard,gameCompleteness,teamIds,playerIds,substitutions,lineupInitialization,rawLineupCompleteness,canonicalAttributionSupport,possessions,boxSupport,usage,three,starter,mpg,EPV,R1,stints
1996-97,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
1997-98,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
1998-99,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
1999-00,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2000-01,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2001-02,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2002-03,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2003-04,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2004-05,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2005-06,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2006-07,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2007-08,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2008-09,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
