season,historicalSourceQualityTier,modelProductStatus,drblAvailable,r1PointsAvailable,r1WinEqAvailable,stintsAvailable,scoreboardPassRate,rawLineupCompleteness,qualityFlags,namesInspected
1996-97,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,0.9974768713204374,0.6110130653172237,HISTORICAL_LINEUP_INCOMPLETE,NO
1997-98,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5965191205214773,HISTORICAL_LINEUP_INCOMPLETE,NO
1998-99,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.6019784242707481,HISTORICAL_LINEUP_INCOMPLETE,NO
1999-00,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.6062093653162983,HISTORICAL_LINEUP_INCOMPLETE,NO
2000-01,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.6010899132140411,HISTORICAL_LINEUP_INCOMPLETE,NO
2001-02,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.605970399955208,HISTORICAL_LINEUP_INCOMPLETE,NO
2002-03,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.586254933828651,HISTORICAL_LINEUP_INCOMPLETE,NO
2003-04,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,0.9991589571068125,0.5921630859375,HISTORICAL_LINEUP_INCOMPLETE,NO
2004-05,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.6272451325526259,HISTORICAL_LINEUP_INCOMPLETE,NO
2005-06,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5978755210709108,HISTORICAL_LINEUP_INCOMPLETE,NO
2006-07,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5891417754592394,HISTORICAL_LINEUP_INCOMPLETE,NO
2007-08,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5899309892718881,HISTORICAL_LINEUP_INCOMPLETE,NO
2008-09,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5695580430807653,HISTORICAL_LINEUP_INCOMPLETE,NO
2009-10,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,0.9991869918699187,0.5743665919530321,HISTORICAL_LINEUP_INCOMPLETE,NO
2010-11,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.6015601693745519,HISTORICAL_LINEUP_INCOMPLETE,NO
2011-12,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.6225902690645476,HISTORICAL_LINEUP_INCOMPLETE,NO
2012-13,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5601408845806191,HISTORICAL_LINEUP_INCOMPLETE,NO
2013-14,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5623684084340658,HISTORICAL_LINEUP_INCOMPLETE,NO
2014-15,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5411560198813756,HISTORICAL_LINEUP_INCOMPLETE,NO
2015-16,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5068032312670081,HISTORICAL_LINEUP_INCOMPLETE,NO
2016-17,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.49536010371532874,HISTORICAL_LINEUP_INCOMPLETE,NO
2017-18,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.5227532247832523,HISTORICAL_LINEUP_INCOMPLETE,NO
2018-19,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,NO,1,0.46700886990801577,HISTORICAL_LINEUP_INCOMPLETE,NO
2019-20,D_UNSUPPORTED,UNAVAILABLE,NO,NO,NO,NO,0.9235127478753541,0.7301002976963498,HISTORICAL_LINEUP_INCOMPLETE,NO
2020-21,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,YES,1,0.9913124375161995,,NO
2021-22,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,YES,1,0.9885275208292331,,NO
2022-23,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,YES,1,0.9862234396019385,,NO
2023-24,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,YES,1,0.9864326042373089,,NO
2024-25,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,CANONICAL_PRODUCTION,YES,YES,YES,YES,1,0.9878,SOURCE_LINEUP_INCOMPLETE_RAW,NO
2025-26,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,CANONICAL_PRODUCTION,YES,YES,YES,YES,1,0.9874,SOURCE_LINEUP_INCOMPLETE_RAW,NO
