season,rawArchive,normalized,sourceTier,modelStatus,DRBL,R1,stints,mainLimitation
1996-97,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
1997-98,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
1998-99,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
1999-00,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2000-01,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2001-02,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2002-03,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2003-04,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2004-05,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2005-06,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2006-07,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2007-08,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2008-09,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2009-10,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2010-11,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2011-12,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2012-13,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2013-14,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2014-15,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2015-16,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2016-17,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2017-18,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2018-19,YES,YES,C_PARTIAL_NONCANONICAL,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2019-20,YES,YES,D_UNSUPPORTED,UNAVAILABLE,NO,NO,NO,HISTORICAL_LINEUP_INCOMPLETE
2020-21,YES,YES,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,
2021-22,YES,YES,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,
2022-23,YES,YES,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,
2023-24,YES,YES,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,RETROSPECTIVE_FROZEN_V1,YES,YES,YES,
2024-25,YES,YES,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,CANONICAL_PRODUCTION,YES,YES,YES,SOURCE_LINEUP_INCOMPLETE_RAW
2025-26,YES,YES,B_CANONICAL_WITH_DOCUMENTED_SOURCE_LIMITATION,CANONICAL_PRODUCTION,YES,YES,YES,SOURCE_LINEUP_INCOMPLETE_RAW
