season,playerId,playerName,N,ApproachBAttributedValue,rawAbilityRate,validatedDRBL100,R1Points,R1WinEquivalents,r1PointsPerWin
2023-24,203999,Nikola Jokic,11154,287.5095225198583,2.5776,2.25,287.5095225198583,7.6688301040962505,37.490662671779255
2023-24,1628983,Shai Gilgeous-Alexander,10853,277.5408598849406,2.5573,2.23,277.5408598849406,7.402932893310975,37.490662671779255
2023-24,1628374,Lauri Markkanen,7574,179.40693082463474,2.3687,1.96,179.40693082463474,4.78537635878284,37.490662671779255
2023-24,202695,Kawhi Leonard,9433,211.92971055827857,2.2467,1.92,211.92971055827857,5.652866486081257,37.490662671779255
2023-24,203507,Giannis Antetokounmpo,10970,220.4043767730601,2.0092,1.75,220.4043767730601,5.8789138699051975,37.490662671779255
2023-24,1628371,Jonathan Isaac,3679,86.57924795761373,2.3533,1.64,86.57924795761373,2.3093549643438402,37.490662671779255
2023-24,203954,Joel Embiid,5495,109.27338410519302,1.9886,1.54,109.27338410519302,2.9146826521006663,37.490662671779255
2023-24,202710,Jimmy Butler,8129,142.31377299571736,1.7507,1.46,142.31377299571736,3.7959791279667807,37.490662671779255
2023-24,1628973,Jalen Brunson,10884,179.48675232167366,1.6491,1.44,179.48675232167366,4.787505462174202,37.490662671779255
2023-24,202681,Kyrie Irving,8293,137.73741401186626,1.6609,1.39,137.73741401186626,3.673912494364812,37.490662671779255
2023-24,1631218,Trayce Jackson-Davis,4754,83.89940941791589,1.7648,1.32,83.89940941791589,2.2378748050530026,37.490662671779255
2023-24,1629162,Jordan McLaughlin,2505,54.14832885931525,2.1616,1.32,54.14832885931525,1.4443150640832736,37.490662671779255
2023-24,204001,Kristaps Porzingis,7032,112.56634440279714,1.6008,1.3,112.56634440279714,3.002516797003175,37.490662671779255
2023-24,1629655,Daniel Gafford,7612,117.01090319037549,1.5372,1.27,117.01090319037549,3.1210678833493746,37.490662671779255
2023-24,203083,Andre Drummond,5371,87.12322934563991,1.6221,1.25,87.12322934563991,2.3238647475607603,37.490662671779255
2023-24,1630543,Isaiah Jackson,3245,60.365429576927156,1.8603,1.25,60.365429576927156,1.6101457076235324,37.490662671779255
2023-24,201939,Stephen Curry,10144,143.87244156592197,1.4183,1.23,143.87244156592197,3.837553975118733,37.490662671779255
2023-24,1631109,Mark Williams,2118,45.139207181383675,2.1312,1.21,45.139207181383675,1.2040119849725086,37.490662671779255
2023-24,1629021,Moritz Wagner,5764,87.98691090479835,1.5265,1.19,87.98691090479835,2.3469019919733154,37.490662671779255
2023-24,1631106,Tari Eason,1932,40.78198643749341,2.1109,1.15,40.78198643749341,1.0877904931830311,37.490662671779255
2023-24,1630530,Trey Murphy III,6908,95.98400646300608,1.3895,1.13,95.98400646300608,2.560210986488034,37.490662671779255
2023-24,2544,LeBron James,10429,133.46028579816098,1.2797,1.11,133.46028579816098,3.5598273353173338,37.490662671779255
2023-24,1641741,Ricky Council IV,1218,31.14538458848545,2.5571,1.11,31.14538458848545,0.8307504420808717,37.490662671779255
2023-24,1629029,Luka Doncic,11073,139.4192469312383,1.2591,1.1,139.4192469312383,3.71877254216114,37.490662671779255
2023-24,1629012,Collin Sexton,8707,112.48104280768418,1.2918,1.09,112.48104280768418,3.000241521266927,37.490662671779255
2023-24,1628978,Donte DiVincenzo,9431,116.7430704624907,1.2379,1.06,116.7430704624907,3.1139238984529327,37.490662671779255
2023-24,202331,Paul George,10096,123.16991531469897,1.22,1.05,123.16991531469897,3.28534911193805,37.490662671779255
2023-24,203076,Anthony Davis,11356,133.9789211021587,1.1798,1.03,133.9789211021587,3.573661054623344,37.490662671779255
2023-24,1631157,Ryan Rollins,338,19.973882935808827,5.9094,1.03,19.973882935808827,0.5327695354620654,37.490662671779255
2023-24,201942,DeMar DeRozan,12010,139.9485120146221,1.1653,1.03,139.9485120146221,3.7328897928487947,37.490662671779255
2023-24,1630573,Sam Hauser,7021,87.73731078669363,1.2496,1.02,87.73731078669363,2.340244331096795,37.490662671779255
2023-24,1630532,Franz Wagner,9430,108.84109806857151,1.1542,0.99,108.84109806857151,2.9031521534160727,37.490662671779255
2023-24,1630178,Tyrese Maxey,10720,121.50642697519365,1.1335,0.99,121.50642697519365,3.2409783747742735,37.490662671779255
2023-24,203497,Rudy Gobert,10321,116.74131247845739,1.1311,0.98,116.74131247845739,3.113877007203005,37.490662671779255
2023-24,1628368,De'Aaron Fox,11203,123.81042544802531,1.1052,0.97,123.81042544802531,3.3024336361283484,37.490662671779255
2023-24,203992,Bogdan Bogdanovic,9966,111.68611725819237,1.1207,0.97,111.68611725819237,2.9790382270906894,37.490662671779255
2023-24,1630541,Moses Moody,4756,61.35934456466627,1.2901,0.97,61.35934456466627,1.6366567084143313,37.490662671779255
2023-24,1628384,O.G. Anunoby,6948,81.7859013978935,1.1771,0.96,81.7859013978935,2.1815005542555284,37.490662671779255
2023-24,1628386,Jarrett Allen,9848,107.20513379271436,1.0886,0.94,107.20513379271436,2.8595155740848512,37.490662671779255
2023-24,1627936,Alex Caruso,8195,90.73199702173885,1.1072,0.93,90.73199702173885,2.420122520001134,37.490662671779255
2023-24,1630598,Aaron Wiggins,5126,61.70460529835859,1.2038,0.92,61.70460529835859,1.645865954372851,37.490662671779255
2023-24,203496,Robert Covington,2018,32.949340521337255,1.6328,0.91,32.949340521337255,0.8788679146538416,37.490662671779255
2023-24,201144,Mike Conley,8774,93.70556577251583,1.068,0.9,93.70556577251583,2.4994374357392144,37.490662671779255
2023-24,1629060,Rui Hachimura,7706,83.14766049116794,1.079,0.89,83.14766049116794,2.217823174242171,37.490662671779255
2023-24,1629674,Neemias Queta,1338,26.016413658260955,1.9444,0.89,26.016413658260955,0.6939438197192649,37.490662671779255
2023-24,1629675,Naz Reid,8056,84.72325704234066,1.0517,0.88,84.72325704234066,2.259849546647659,37.490662671779255
2023-24,1629731,Dean Wade,4496,52.14271071723076,1.1598,0.86,52.14271071723076,1.3908185932515058,37.490662671779255
2023-24,1628378,Donovan Mitchell,7873,80.19921431412436,1.0187,0.85,80.19921431412436,2.1391783606560137,37.490662671779255
2023-24,1631114,Jalen Williams,9294,91.9113129239806,0.9889,0.84,91.9113129239806,2.451578776524694,37.490662671779255
2023-24,1630540,Miles McBride,5173,57.05437423756351,1.1029,0.84,57.05437423756351,1.5218289080953122,37.490662671779255
2023-24,1630174,Aaron Nesmith,8396,83.28719239816336,0.992,0.83,83.28719239816336,2.221544951800946,37.490662671779255
2023-24,1630649,Stanley Umude,1278,23.979171748888703,1.8763,0.83,23.979171748888703,0.6396038383962416,37.490662671779255
2023-24,1629750,Javonte Green,940,21.001704194741976,2.2342,0.83,21.001704194741976,0.5601849286742753,37.490662671779255
2023-24,1641871,Duop Reath,4883,52.9877720319923,1.0851,0.82,52.9877720319923,1.4133591741465361,37.490662671779255
2023-24,1628369,Jayson Tatum,10748,100.31753531285695,0.9334,0.81,100.31753531285695,2.675800537085999,37.490662671779255
2023-24,1641726,Dereck Lively II,5419,56.84148491914097,1.0489,0.81,56.84148491914097,1.5161504456929182,37.490662671779255
2023-24,1628963,Marvin Bagley III,4505,49.21561491142424,1.0925,0.81,49.21561491142424,1.3127432646975012,37.490662671779255
2023-24,1629626,Bol Bol,2000,28.32784432926678,1.4164,0.79,28.32784432926678,0.7555973223858297,37.490662671779255
2023-24,1628960,Grayson Allen,10327,93.59313660511165,0.9063,0.78,93.59313660511165,2.496438577906573,37.490662671779255
2023-24,1630167,Obi Toppin,7405,70.15107361169056,0.9473,0.78,70.15107361169056,1.8711612068808836,37.490662671779255
2023-24,1629634,Brandon Clarke,559,16.682815306037067,2.9844,0.77,16.682815306037067,0.4449858742719664,37.490662671779255
2023-24,1630198,Isaiah Joe,6060,59.13544554943141,0.9758,0.77,59.13544554943141,1.577337964579246,37.490662671779255
2023-24,1627783,Pascal Siakam,11017,97.38198316242973,0.8839,0.77,97.38198316242973,2.5974996498456964,37.490662671779255
2023-24,1626181,Norman Powell,8215,75.38561649225187,0.9177,0.77,75.38561649225187,2.0107837824109116,37.490662671779255
2023-24,1628436,Luke Kornet,3892,42.17002252694952,1.0835,0.77,42.17002252694952,1.124814007587351,37.490662671779255
2023-24,1630170,Devin Vassell,9565,85.72803625104093,0.8963,0.77,85.72803625104093,2.2866503321524885,37.490662671779255
2023-24,1631096,Chet Holmgren,10118,85.66055467824526,0.8466,0.73,85.66055467824526,2.2848503753636087,37.490662671779255
2023-24,1631323,Simone Fontecchio,6970,61.64117077187821,0.8844,0.72,61.64117077187821,1.6441739456976316,37.490662671779255
2023-24,1631165,Keon Ellis,3950,39.83317446253271,1.0084,0.72,39.83317446253271,1.0624825389527393,37.490662671779255
2023-24,1641970,Maozinha Pereira,507,14.973302524020674,2.9533,0.71,14.973302524020674,0.3993875129684407,37.490662671779255
2023-24,1630217,Desmond Bane,5970,53.54246695512175,0.8969,0.71,53.54246695512175,1.428154722787158,37.490662671779255
2023-24,1631321,Sidy Cissoko,600,15.560301257521546,2.5934,0.71,15.560301257521546,0.4150447110990763,37.490662671779255
2023-24,1630529,Herbert Jones,9497,77.95930494278575,0.8209,0.7,77.95930494278575,2.07943256765821,37.490662671779255
2023-24,1630570,Trendon Watford,3470,35.575738465520466,1.0252,0.7,35.575738465520466,0.9489226364702209,37.490662671779255
2023-24,1641778,Leaky Black,1080,18.01662999430978,1.6682,0.67,18.01662999430978,0.48056312453158184,37.490662671779255
2023-24,1628392,Isaiah Hartenstein,7657,61.30445290651474,0.8006,0.66,61.30445290651474,1.635192566298944,37.490662671779255
2023-24,1629008,Michael Porter Jr.,10386,79.27692777493844,0.7633,0.66,79.27692777493844,2.114577927549235,37.490662671779255
2023-24,1630591,Jalen Suggs,8288,65.03458084000616,0.7847,0.66,65.03458084000616,1.734687418287763,37.490662671779255
2023-24,203932,Aaron Gordon,9265,70.20796594819059,0.7578,0.65,70.20796594819059,1.872678713706466,37.490662671779255
2023-24,1627826,Ivica Zubac,7166,55.72168868406611,0.7776,0.64,55.72168868406611,1.4862817755955562,37.490662671779255
2023-24,1626164,Devin Booker,9922,73.1184612546489,0.7369,0.63,73.1184612546489,1.9503112520251114,37.490662671779255
2023-24,1627736,Malik Beasley,9790,71.68114361738624,0.7322,0.63,71.68114361738624,1.911973235707662,37.490662671779255
2023-24,1626167,Myles Turner,8755,65.13607522905748,0.744,0.63,65.13607522905748,1.7373946094073192,37.490662671779255
2023-24,1631117,Walker Kessler,6159,48.407553133165386,0.786,0.62,48.407553133165386,1.2911895838427982,37.490662671779255
2023-24,1641715,Cam Whitmore,3811,33.72695901091155,0.885,0.62,33.72695901091155,0.8996095722868938,37.490662671779255
2023-24,202722,Dāvis Bertāns,2690,26.73574447263777,0.9939,0.62,26.73574447263777,0.7131307522276167,37.490662671779255
2023-24,1629627,Zion Williamson,9137,65.39461461144558,0.7157,0.61,65.39461461144558,1.7442907100351353,37.490662671779255
2023-24,1630688,Ish Wainright,265,11.303471988513575,4.2655,0.61,11.303471988513575,0.3015009920596084,37.490662671779255
2023-24,1629680,Matisse Thybulle,6048,46.340343247975454,0.7662,0.61,46.340343247975454,1.236050257464713,37.490662671779255
2023-24,201142,Kevin Durant,11651,80.289258912337,0.6891,0.61,80.289258912337,2.141580147975725,37.490662671779255
2023-24,1630631,Jose Alvarado,4254,35.020247728611345,0.8232,0.6,35.020247728611345,0.9341058608433856,37.490662671779255
2023-24,1630169,Tyrese Haliburton,9458,65.23570733956078,0.6897,0.59,65.23570733956078,1.7400521273972132,37.490662671779255
2023-24,1641717,Cason Wallace,7005,50.39735018267285,0.7194,0.59,50.39735018267285,1.3442640537962265,37.490662671779255
2023-24,201572,Brook Lopez,10112,68.33632278194959,0.6758,0.58,68.33632278194959,1.8227557986962208,37.490662671779255
2023-24,201143,Al Horford,7015,50.21678213194881,0.7158,0.58,50.21678213194881,1.3394477065285118,37.490662671779255
2023-24,1631131,Oscar Tshiebwe,184,10.320378569312243,5.6089,0.58,10.320378569312243,0.275278638301606,37.490662671779255
2023-24,1627780,Gary Payton II,2897,25.729145610146524,0.8881,0.57,25.729145610146524,0.6862814305364066,37.490662671779255
2023-24,1630241,Sam Merrill,4289,33.555937398746664,0.7824,0.57,33.555937398746664,0.8950478601170627,37.490662671779255
2023-24,1630557,Corey Kispert,8735,58.72353807047884,0.6723,0.57,58.72353807047884,1.5663510294439908,37.490662671779255
2023-24,1630208,Nick Richards,7191,49.88821278795042,0.6938,0.57,49.88821278795042,1.3306836751515547,37.490662671779255
2023-24,1630596,Evan Mobley,6317,44.71067037924094,0.7078,0.56,44.71067037924094,1.1925814907746743,37.490662671779255
2023-24,203991,Clint Capela,7871,53.36693733290119,0.678,0.56,53.36693733290119,1.423472767075751,37.490662671779255
2023-24,201567,Kevin Love,3715,29.835105166980508,0.8031,0.56,29.835105166980508,0.7958009552452804,37.490662671779255
2023-24,1628401,Derrick White,9805,63.470785312632586,0.6473,0.56,63.470785312632586,1.6929758182271242,37.490662671779255
2023-24,1629637,Jaxson Hayes,3668,29.209272848030185,0.7963,0.55,29.209272848030185,0.7791079369215096,37.490662671779255
2023-24,1629661,Cameron Johnson,6449,43.94479146119786,0.6814,0.55,43.94479146119786,1.1721529663511894,37.490662671779255
2023-24,1627832,Fred VanVleet,10988,68.63971234309679,0.6247,0.55,68.63971234309679,1.830848201964824,37.490662671779255
2023-24,1630205,Lamar Stevens,2245,20.692124525349303,0.9217,0.54,20.692124525349303,0.5519274147406604,37.490662671779255
2023-24,1628381,John Collins,7936,50.03007461187704,0.6304,0.52,50.03007461187704,1.3344675993027115,37.490662671779255
2023-24,1631262,Jules Bernard,628,11.643293859433857,1.854,0.52,11.643293859433857,0.310565165555162,37.490662671779255
2023-24,1631222,Jake LaRavia,3323,25.511367028093904,0.7677,0.52,25.511367028093904,0.6804725552983449,37.490662671779255
2023-24,1630578,Alperen Sengun,8337,51.25529499375753,0.6148,0.52,51.25529499375753,1.3671482801593549,37.490662671779255
2023-24,1627750,Jamal Murray,7465,46.263557039854305,0.6197,0.51,46.263557039854305,1.2340021152701246,37.490662671779255
2023-24,1629018,Gary Trent Jr.,8169,49.78933498941788,0.6095,0.51,49.78933498941788,1.3280462771573343,37.490662671779255
2023-24,1630547,James Bouknight,302,9.691363530420968,3.2091,0.51,9.691363530420968,0.2585007263079415,37.490662671779255
2023-24,1626157,Karl-Anthony Towns,8195,49.534192993668945,0.6044,0.51,49.534192993668945,1.3212407960704131,37.490662671779255
2023-24,1631205,Buddy Boeheim,342,9.56498978161976,2.7968,0.49,9.56498978161976,0.255129920358002,37.490662671779255
2023-24,1630288,Jeff Dowtin Jr.,571,10.492906083748382,1.8376,0.48,10.492906083748382,0.2798805178668346,37.490662671779255
2023-24,1628988,Aaron Holiday,5193,32.776523129325696,0.6312,0.48,32.776523129325696,0.8742583030947041,37.490662671779255
2023-24,1630572,Sandro Mamukelashvili,1925,16.948393943730515,0.8804,0.48,16.948393943730515,0.45206973512602805,37.490662671779255
2023-24,1628420,Monte Morris,1917,16.90570564602416,0.8819,0.48,16.90570564602416,0.4509310970048489,37.490662671779255
2023-24,1631169,Josh Minott,399,9.570592927698023,2.3986,0.48,9.570592927698023,0.25527937480022717,37.490662671779255
2023-24,1627751,Jakob Poeltl,5483,33.521821211793885,0.6114,0.47,33.521821211793885,0.8941378685479231,37.490662671779255
2023-24,1630171,Isaac Okoro,7630,43.57663705227911,0.5711,0.47,43.57663705227911,1.1623330703375647,37.490662671779255
2023-24,1630228,Jonathan Kuminga,8078,45.30327657629206,0.5608,0.47,45.30327657629206,1.2083882585087962,37.490662671779255
2023-24,1630549,Day'Ron Sharpe,3797,25.141663408008473,0.6621,0.47,25.141663408008473,0.6706113366978073,37.490662671779255
2023-24,1641730,Noah Clowney,1497,14.086550898274202,0.941,0.45,14.086550898274202,0.3757349135596294,37.490662671779255
2023-24,1628976,Wendell Carter Jr.,5592,31.679177591444756,0.5665,0.44,31.679177591444756,0.8449884673628605,37.490662671779255
2023-24,1627763,Malcolm Brogdon,4614,26.97929586757839,0.5847,0.43,26.97929586757839,0.7196270736469751,37.490662671779255
2023-24,203484,Kentavious Caldwell-Pope,9741,48.698247379553216,0.4999,0.43,48.698247379553216,1.2989433610681511,37.490662671779255
2023-24,203468,CJ McCollum,8793,43.83060308244057,0.4985,0.42,43.83060308244057,1.1691071845319407,37.490662671779255
2023-24,1630556,Kessler Edwards,1066,11.17568772655877,1.0484,0.42,11.17568772655877,0.2980925630576054,37.490662671779255
2023-24,203957,Dante Exum,4575,25.394888407578787,0.5551,0.41,25.394888407578787,0.6773656851548413,37.490662671779255
2023-24,1641774,Tristan Vukcevic,653,9.238629878488213,1.4148,0.41,9.238629878488213,0.2464248220782319,37.490662671779255
2023-24,1631260,AJ Green,2472,16.62116846691894,0.6724,0.41,16.62116846691894,0.44334154913272233,37.490662671779255
2023-24,1630647,Eugene Omoruyi,1680,13.241428624133725,0.7882,0.4,13.241428624133725,0.35319270667629693,37.490662671779255
2023-24,1629028,Deandre Ayton,7204,34.94575212333793,0.4851,0.4,34.94575212333793,0.9321188166045147,37.490662671779255
2023-24,1630548,Johnny Juzang,1522,12.05209474240307,0.7919,0.39,12.05209474240307,0.32146923749830575,37.490662671779255
2023-24,1630188,Jalen Smith,4406,22.86637322473141,0.519,0.38,22.86637322473141,0.6099218203988659,37.490662671779255
2023-24,1630590,Scotty Pippen Jr.,2149,14.241881146992892,0.6627,0.38,14.241881146992892,0.3798780851562097,37.490662671779255
2023-24,1631159,Leonard Miller,230,6.867842668039673,2.986,0.38,6.867842668039673,0.1831880841415315,37.490662671779255
2023-24,1626153,Delon Wright,3071,17.319856955278926,0.564,0.37,17.319856955278926,0.46197788251729904,37.490662671779255
2023-24,1631105,Jalen Duren,7465,33.35915612699358,0.4469,0.37,33.35915612699358,0.8897990526079544,37.490662671779255
2023-24,1630162,Anthony Edwards,11275,47.331242195626395,0.4198,0.37,47.331242195626395,1.262480810488702,37.490662671779255
2023-24,1629312,Haywood Highsmith,5502,26.0113655679722,0.4728,0.37,26.0113655679722,0.6938091704511804,37.490662671779255
2023-24,1629111,Jock Landale,3253,17.580561432856605,0.5404,0.36,17.580561432856605,0.46893173339638533,37.490662671779255
2023-24,1641708,Amen Thompson,5881,26.529857733366917,0.4511,0.35,26.529857733366917,0.7076390717771179,37.490662671779255
2023-24,1628449,Chris Boucher,2870,15.810302786930437,0.5509,0.35,15.810302786930437,0.4217130789430269,37.490662671779255
2023-24,1631099,Keegan Murray,10191,41.69007705925907,0.4091,0.35,41.69007705925907,1.1120122742093028,37.490662671779255
2023-24,1630245,Ayo Dosunmu,8879,36.905006689024496,0.4156,0.35,36.905006689024496,0.9843786174738489,37.490662671779255
