family,window,bin,n,rawRMSE,ebRMSE,deltaRMSE
SEASON_TO_NEXT,2020-21->2021-22,N_lt_500,28,4.1244070129300585,2.54765335865825,-1.5767536542718084
SEASON_TO_NEXT,2020-21->2021-22,N_500_1500,54,2.0630814046577597,1.525441643766484,-0.5376397608912757
SEASON_TO_NEXT,2020-21->2021-22,N_1500_3000,64,1.4375154631699814,1.3028406313867609,-0.13467483178322048
SEASON_TO_NEXT,2020-21->2021-22,N_ge_3000,297,1.3511797819691849,1.2883289101010917,-0.06285087186809313
SEASON_TO_NEXT,2021-22->2022-23,N_lt_500,24,3.218859905293503,2.044029966782518,-1.1748299385109848
SEASON_TO_NEXT,2021-22->2022-23,N_500_1500,44,1.8088471846594714,1.7305119629747971,-0.07833522168467422
SEASON_TO_NEXT,2021-22->2022-23,N_1500_3000,54,1.4085987345216637,1.3043004718526647,-0.104298262668999
SEASON_TO_NEXT,2021-22->2022-23,N_ge_3000,301,0.8265050904730685,0.7836689304024609,-0.04283616007060764
SEASON_TO_NEXT,2022-23->2023-24,N_lt_500,31,3.13085176006855,1.839775215860519,-1.2910765442080312
SEASON_TO_NEXT,2022-23->2023-24,N_500_1500,46,1.9622944923218415,1.590556230141076,-0.37173826218076544
SEASON_TO_NEXT,2022-23->2023-24,N_1500_3000,53,1.5504309803482206,1.367734616093917,-0.18269636425430358
SEASON_TO_NEXT,2022-23->2023-24,N_ge_3000,307,1.0489773916096437,1.0012188735069718,-0.04775851810267184
SEASON_TO_NEXT,2023-24->2024-25,N_lt_500,42,3.7643572358737316,2.8045305521181056,-0.959826683755626
SEASON_TO_NEXT,2023-24->2024-25,N_500_1500,41,1.774862516085397,1.2643156915020084,-0.5105468245833886
SEASON_TO_NEXT,2023-24->2024-25,N_1500_3000,59,1.3710605611009838,1.2827767811110482,-0.08828377998993564
SEASON_TO_NEXT,2023-24->2024-25,N_ge_3000,298,0.998554764708237,0.956247430965115,-0.04230733374312201
SEASON_TO_NEXT,2024-25->2025-26,N_lt_500,37,3.805857703705619,1.650514353871479,-2.15534334983414
SEASON_TO_NEXT,2024-25->2025-26,N_500_1500,42,2.1606482066202304,2.0939071583856137,-0.06674104823461668
SEASON_TO_NEXT,2024-25->2025-26,N_1500_3000,69,1.5964861243878565,1.4574670226112958,-0.13901910177656074
SEASON_TO_NEXT,2024-25->2025-26,N_ge_3000,305,1.002357067918911,0.9600856609655355,-0.04227140695337561
EARLY_LATE,2020-21,N_lt_500,62,4.331666616348672,3.19226559150446,-1.139401024844212
EARLY_LATE,2020-21,N_500_1500,65,2.154887223919591,2.159289933882845,0.004402709963254203
EARLY_LATE,2020-21,N_1500_3000,98,1.5402862312399392,1.4813874226654522,-0.05889880857448704
EARLY_LATE,2020-21,N_ge_3000,232,1.3143542420032772,1.253008373839033,-0.061345868164244255
EARLY_LATE,2021-22,N_lt_500,40,4.689970521936491,3.619656990252948,-1.070313531683543
EARLY_LATE,2021-22,N_500_1500,65,3.418558995451423,3.1456036618271344,-0.2729553336242887
EARLY_LATE,2021-22,N_1500_3000,100,2.286175157118349,2.237893167472464,-0.04828198964588504
EARLY_LATE,2021-22,N_ge_3000,245,1.445217890273423,1.4039856855264323,-0.04123220474699063
EARLY_LATE,2022-23,N_lt_500,35,4.186932959594637,2.6435144276684053,-1.543418531926232
EARLY_LATE,2022-23,N_500_1500,61,2.2472965387204247,2.2419014647109345,-0.005395074009490131
EARLY_LATE,2022-23,N_1500_3000,95,1.9467407633683558,1.9334589857546318,-0.013281777613723955
EARLY_LATE,2022-23,N_ge_3000,252,1.2737831612911392,1.241632043106992,-0.032151118184147176
EARLY_LATE,2023-24,N_lt_500,66,4.818692615663804,4.334690402262404,-0.48400221340139993
EARLY_LATE,2023-24,N_500_1500,71,1.993894666549458,1.7621163896478387,-0.23177827690161923
EARLY_LATE,2023-24,N_1500_3000,77,1.822699377828484,1.8801161098844337,0.05741673205594977
EARLY_LATE,2023-24,N_ge_3000,248,1.3175151060493324,1.2721705703424042,-0.0453445357069282
EARLY_LATE,2024-25,N_lt_500,68,5.977582992130128,5.223092357514243,-0.7544906346158848
EARLY_LATE,2024-25,N_500_1500,75,2.5947669627305823,2.4922288253825915,-0.10253813734799078
EARLY_LATE,2024-25,N_1500_3000,81,1.589834863768191,1.633440183366147,0.043605319597955994
EARLY_LATE,2024-25,N_ge_3000,251,1.465315860987703,1.4171626526414132,-0.04815320834628989
EARLY_LATE,2025-26,N_lt_500,53,4.240590528531981,3.6847789973316916,-0.5558115312002894
EARLY_LATE,2025-26,N_500_1500,59,2.5736198900027287,2.247374958428544,-0.3262449315741849
EARLY_LATE,2025-26,N_1500_3000,88,2.722940676458623,2.6286105125652983,-0.09433016389332449
EARLY_LATE,2025-26,N_ge_3000,258,1.4509774078419395,1.4758702741026126,0.024892866260673108
