window,n,rawRMSE,ebRMSE,deltaRMSE,rawPearson,ebPearson,rawSpearman,ebSpearman,evidenceClass
2020-21->2021-22,443,1.765369668386048,1.4324384414266995,-0.3329312269593485,0.19387757392701485,0.23677060377272466,0.39344224054089943,0.3944239071712183,HISTORICAL_REPEATED_VALIDATION
2021-22->2022-23,423,1.2913521122986944,1.096694988275614,-0.19465712402308033,0.3868936056869103,0.4357363432720532,0.4596942357415606,0.4634986107966563,HISTORICAL_REPEATED_VALIDATION
2022-23->2023-24,437,1.4714745055921565,1.1989676863484615,-0.272506819243695,0.2725441627972095,0.3736346781010954,0.43031954650985893,0.43669534963242074,HISTORICAL_REPEATED_VALIDATION
2023-24->2024-25,440,1.60422714373843,1.3189735120660804,-0.2852536316723495,0.3608002807891582,0.3674497218901562,0.4842182223893906,0.4784137220844022,HISTORICAL_REPEATED_VALIDATION_WITH_DEV_CONTAMINATION_NOTE
2024-25->2025-26,453,1.6372497387435843,1.2542649166951163,-0.38298482204846795,0.2766590537574571,0.3893579449157415,0.3975043509399347,0.43843106951925503,PREVIOUSLY_CONSUMED_REPLICATION
earlyLate:2020-21,457,2.14284536935905,1.8202532769956226,-0.32259209236342734,0.28358152783459806,0.3374278286971923,0.3504877271101942,0.37403811191571945,PRIMARY
earlyLate:2021-22,450,2.437593760228596,2.1863184580857777,-0.25127530214281846,0.14043278242441862,0.2560218312557678,0.2695208042179632,0.31029585331285586,PRIMARY
earlyLate:2022-23,443,1.9534896751594755,1.7096263310269049,-0.2438633441325706,0.31556237364948797,0.4075823032328841,0.43029697624041,0.43629077429369556,PRIMARY
earlyLate:2023-24,462,2.3267116302044317,2.149256700108974,-0.17745493009545754,0.3273273167479251,0.3571964781308219,0.38983022384211463,0.4221810853604822,PRIMARY
earlyLate:2024-25,475,2.782793531124609,2.530297105501295,-0.2524964256233142,0.23191379892722358,0.2881043311063093,0.3579677413936927,0.39287992878697114,PRIMARY
earlyLate:2025-26,458,2.3547360671426114,2.1855128277791382,-0.16922323936347317,0.2983269110402185,0.3481713587492692,0.37877613468824983,0.42254305841982986,PREVIOUSLY_CONSUMED_REPLICATION
