playerId,playerName,status,before_drbl100,after_drbl100,delta_drbl100,before_rank,after_rank,delta_rank,before_poss,after_poss,after_sdv100,after_shotMaking100
1631157,Ryan Rollins,new_in_after,,1.45,,,1,,,308,0.43,-0.68
1631116,Patrick Baldwin Jr.,matched,2.6,1.36,-1.24,4,2,2,57,224,-0.41,0.03
1631096,Chet Holmgren,matched,0.55,1.11,0.56,104,3,101,395,1134,3.63,0.51
1629684,Grant Williams,matched,0.81,1.04,0.23,85,4,81,298,1958,-0.93,1.55
1629001,De'Anthony Melton,matched,-0.43,0.99,1.42,201,5,196,221,527,-2.13,0.61
1630537,Chris Duarte,new_in_after,,0.82,,,6,,,221,0.42,1.46
201988,Patty Mills,matched,0.63,0.82,0.19,100,7,93,148,597,-0.92,-1.06
203914,Gary Harris,matched,-0.6,0.69,1.29,219,8,211,281,1163,-1.79,0.98
1629627,Zion Williamson,matched,1.43,0.69,-0.74,48,9,39,266,792,-2.4,-1.73
1630264,Anthony Gill,new_in_after,,0.63,,,10,,,640,0.39,0.7
1642280,Trentyn Flowers,new_in_after,,0.6,,,11,,,62,-0.56,-0.53
1629659,Talen Horton-Tucker,matched,0.47,0.59,0.12,110,12,98,56,1180,0.77,4.26
1631306,Cole Swider,new_in_after,,0.58,,,13,,,53,-0.26,-2.55
203999,Nikola Jokić,matched,0.3,0.57,0.27,121,14,107,293,3468,2.76,8.03
1629646,Charles Bassey,new_in_after,,0.56,,,15,,,817,0.57,0.69
1630551,Justin Champagnie,new_in_after,,0.54,,,16,,,777,1.35,3.37
202692,Alec Burks,matched,0.89,0.51,-0.38,76,17,59,134,612,-0.34,0.22
1641890,Tyler Smith,new_in_after,,0.5,,,18,,,158,0.05,2.22
1630572,Sandro Mamukelashvili,new_in_after,,0.47,,,19,,,726,1.08,5.94
1630543,Isaiah Jackson,matched,-0.28,0.47,0.75,188,20,168,185,363,0.97,1.04
1642358,AJ Johnson,new_in_after,,0.43,,,21,,,51,-0.32,0.43
1631098,Johnny Davis,new_in_after,,0.43,,,22,,,750,-0.71,-1.35
1642353,Cam Christie,new_in_after,,0.43,,,23,,,76,0.05,-1.2
1630696,Dru Smith,new_in_after,,0.42,,,24,,,944,-0.67,4.39
1628386,Jarrett Allen,matched,0.81,0.42,-0.39,84,25,59,500,3393,6.52,7.96
1641737,Adem Bona,new_in_after,,0.41,,,26,,,364,0.63,0.68
1630215,Jared Butler,matched,2.05,0.41,-1.64,20,27,-7,87,888,-1.67,-1.82
203932,Aaron Gordon,matched,0.39,0.41,0.02,115,28,87,275,1700,1.54,3.36
1630604,E.J. Liddell,new_in_after,,0.41,,,29,,,141,-0.37,2.25
1630695,Micah Potter,new_in_after,,0.4,,,30,,,465,-0.22,-0.02
1626157,Karl-Anthony Towns,matched,-0.95,0.39,1.34,260,31,229,350,3409,2.96,4.79
1631095,Jabari Smith Jr.,matched,0.43,0.39,-0.04,112,32,80,529,3198,-1.33,0.95
1627741,Buddy Hield,matched,2.41,0.38,-2.03,6,33,-27,268,2473,0.65,4.61
1642382,Branden Carlson,new_in_after,,0.35,,,34,,,66,0.26,-2.77
1630618,D.J. Carton,matched,2.03,0.34,-1.69,22,35,-13,111,151,-0.14,-2.58
1631321,Sidy Cissoko,new_in_after,,0.34,,,36,,,134,-0.43,0.73
1641720,Jalen Hood-Schifino,new_in_after,,0.34,,,37,,,54,-0.07,0.47
1628975,Jevon Carter,new_in_after,,0.33,,,38,,,245,-0.65,-2.34
1628988,Aaron Holiday,new_in_after,,0.32,,,39,,,693,-0.49,4.77
1630173,Precious Achiuwa,new_in_after,,0.31,,,40,,,541,0.3,-0.8
201567,Kevin Love,new_in_after,,0.3,,,41,,,719,-0.59,-1.91
1628418,Thomas Bryant,matched,1.94,0.29,-1.65,25,42,-17,165,473,-0.18,1.11
1630699,MarJon Beauchamp,new_in_after,,0.29,,,43,,,150,-0.59,-1.43
203114,Khris Middleton,new_in_after,,0.28,,,44,,,261,-1.18,-3.66
1641705,Victor Wembanyama,matched,-1.3,0.27,1.57,275,45,230,385,2934,-0.77,3.3
203507,Giannis Antetokounmpo,matched,-1.91,0.25,2.16,302,46,256,589,3196,4.86,2.6
1626168,Trey Lyles,matched,-0.06,0.25,0.31,156,47,109,191,1353,-3.26,-1.24
1641726,Dereck Lively II,matched,-0.81,0.23,1.04,250,48,202,198,2193,4.44,8.29
1629048,Goga Bitadze,matched,-0.48,0.22,0.7,205,49,156,69,2244,7.14,4.19
1629610,DaQuan Jeffries,new_in_after,,0.22,,,50,,,243,-0.46,4.52
1628963,Marvin Bagley III,matched,1.24,0.2,-1.04,53,51,2,121,687,2.22,-0.11
1629008,Michael Porter Jr.,matched,0.48,0.2,-0.28,108,52,56,277,3716,-0.34,6.14
1630311,Pat Spencer,new_in_after,,0.2,,,53,,,187,-1.06,-2.03
1631213,Tyrese Martin,new_in_after,,0.2,,,54,,,715,-1.1,4
1627734,Domantas Sabonis,matched,0.99,0.19,-0.8,72,55,17,466,4010,6.62,9.54
1630649,Stanley Umude,new_in_after,,0.19,,,56,,,77,0.15,-0.16
1628366,Lonzo Ball,matched,2.69,0.18,-2.51,3,57,-54,224,879,-1.75,-3.14
1628449,Chris Boucher,matched,0.39,0.17,-0.22,114,58,56,231,1760,1.79,-3.29
1628392,Isaiah Hartenstein,new_in_after,,0.17,,,59,,,1374,1.9,0.07
1629029,Luka Dončić,matched,-0.15,0.16,0.31,171,60,111,322,3158,-4.66,2.31
1641857,Liam Robbins,new_in_after,,0.16,,,61,,,85,-0.14,0.35
1641741,Ricky Council IV,matched,0.69,0.15,-0.54,94,62,32,55,929,-1.99,-3.48
1630578,Alperen Sengun,matched,0.16,0.15,-0.01,136,63,73,462,3256,-0.25,-4.59
1629655,Daniel Gafford,matched,0.79,0.15,-0.64,86,64,22,162,2289,6.91,11.89
1629637,Jaxson Hayes,matched,1.01,0.14,-0.87,69,65,4,244,802,1.63,4.46
203991,Clint Capela,matched,0.1,0.14,0.04,143,66,77,366,2577,8.51,-0.18
1642419,Jamison Battle,matched,2.31,0.14,-2.17,12,67,-55,208,1382,-0.32,7.2
1629675,Naz Reid,matched,-0.15,0.13,0.28,170,68,102,306,2664,0.73,-3.62
1627832,Fred VanVleet,matched,0.3,0.12,-0.18,120,69,51,590,3429,-5.11,-3.35
1631114,Jalen Williams,matched,-0.43,0.12,0.55,202,70,132,437,3564,-0.35,1.48
1631102,TyTy Washington Jr.,new_in_after,,0.12,,,71,,,105,-0.34,0.82
203076,Anthony Davis,matched,-0.68,0.11,0.79,229,72,157,628,3789,3.54,-4.12
1630174,Aaron Nesmith,matched,-0.73,0.11,0.84,237,73,164,383,557,-0.62,2.34
1627826,Ivica Zubac,matched,0.05,0.11,0.06,146,74,72,465,3734,7.33,4.52
1628989,Kevin Huerter,matched,-0.25,0.11,0.36,185,75,110,331,2631,-0.44,-1.31
1642266,Ja'Kobe Walter,new_in_after,,0.11,,,76,,,1299,-2.73,-7.59
1629650,Moses Brown,new_in_after,,0.11,,,77,,,212,0.41,1.61
1630202,Payton Pritchard,matched,1.04,0.1,-0.94,64,78,-14,419,3159,-2.13,13.71
