abbr,full_name,logo,colors,conference,division,espn_id,nba_id,route,team_page,explore_board,standings,game_cards,player_association,search
ATL,Atlanta Hawks,Y,Y,East,Southeast,1,1610612737,/teams/1,Y,Y,Y,Y,Y,Y
BOS,Boston Celtics,Y,Y,East,Atlantic,2,1610612738,/teams/2,Y,Y,Y,Y,Y,Y
NOP,New Orleans Pelicans,Y,Y,West,Southwest,3,1610612740,/teams/3,Y,Y,Y,Y,Y,Y
CHI,Chicago Bulls,Y,Y,East,Central,4,1610612741,/teams/4,Y,Y,Y,Y,Y,Y
CLE,Cleveland Cavaliers,Y,Y,East,Central,5,1610612739,/teams/5,Y,Y,Y,Y,Y,Y
DAL,Dallas Mavericks,Y,Y,West,Southwest,6,1610612742,/teams/6,Y,Y,Y,Y,Y,Y
DEN,Denver Nuggets,Y,Y,West,Northwest,7,1610612743,/teams/7,Y,Y,Y,Y,Y,Y
DET,Detroit Pistons,Y,Y,East,Central,8,1610612765,/teams/8,Y,Y,Y,Y,Y,Y
GSW,Golden State Warriors,Y,Y,West,Pacific,9,1610612744,/teams/9,Y,Y,Y,Y,Y,Y
HOU,Houston Rockets,Y,Y,West,Southwest,10,1610612745,/teams/10,Y,Y,Y,Y,Y,Y
IND,Indiana Pacers,Y,Y,East,Central,11,1610612754,/teams/11,Y,Y,Y,Y,Y,Y
LAC,LA Clippers,Y,Y,West,Pacific,12,1610612746,/teams/12,Y,Y,Y,Y,Y,Y
LAL,Los Angeles Lakers,Y,Y,West,Pacific,13,1610612747,/teams/13,Y,Y,Y,Y,Y,Y
MIA,Miami Heat,Y,Y,East,Southeast,14,1610612748,/teams/14,Y,Y,Y,Y,Y,Y
MIL,Milwaukee Bucks,Y,Y,East,Central,15,1610612749,/teams/15,Y,Y,Y,Y,Y,Y
MIN,Minnesota Timberwolves,Y,Y,West,Northwest,16,1610612750,/teams/16,Y,Y,Y,Y,Y,Y
BKN,Brooklyn Nets,Y,Y,East,Atlantic,17,1610612751,/teams/17,Y,Y,Y,Y,Y,Y
NYK,New York Knicks,Y,Y,East,Atlantic,18,1610612752,/teams/18,Y,Y,Y,Y,Y,Y
ORL,Orlando Magic,Y,Y,East,Southeast,19,1610612753,/teams/19,Y,Y,Y,Y,Y,Y
PHI,Philadelphia 76ers,Y,Y,East,Atlantic,20,1610612755,/teams/20,Y,Y,Y,Y,Y,Y
PHX,Phoenix Suns,Y,Y,West,Pacific,21,1610612756,/teams/21,Y,Y,Y,Y,Y,Y
POR,Portland Trail Blazers,Y,Y,West,Northwest,22,1610612757,/teams/22,Y,Y,Y,Y,Y,Y
SAC,Sacramento Kings,Y,Y,West,Pacific,23,1610612758,/teams/23,Y,Y,Y,Y,Y,Y
SAS,San Antonio Spurs,Y,Y,West,Southwest,24,1610612759,/teams/24,Y,Y,Y,Y,Y,Y
OKC,Oklahoma City Thunder,Y,Y,West,Northwest,25,1610612760,/teams/25,Y,Y,Y,Y,Y,Y
UTA,Utah Jazz,Y,Y,West,Northwest,26,1610612762,/teams/26,Y,Y,Y,Y,Y,Y
WAS,Washington Wizards,Y,Y,East,Southeast,27,1610612764,/teams/27,Y,Y,Y,Y,Y,Y
TOR,Toronto Raptors,Y,Y,East,Atlantic,28,1610612761,/teams/28,Y,Y,Y,Y,Y,Y
MEM,Memphis Grizzlies,Y,Y,West,Southwest,29,1610612763,/teams/29,Y,Y,Y,Y,Y,Y
CHA,Charlotte Hornets,Y,Y,East,Southeast,30,1610612766,/teams/30,Y,Y,Y,Y,Y,Y
