severity,path,purpose,bytes,lineCount,sha256
CRITICAL,src/data/drbl/season-registry.ts,Canonical season registry bridge,559,20,cb1556e5162171ebec3314b78f48d3d9c87516da1ba5798e298aa86345237480
CRITICAL,drbl/historical/season-registry.ts,Season registry source of truth,8131,198,016c3e6267c09ae45290b15037e5acbd1b8a074c8d4bb1cbcc79635ebe6fbdbf
CRITICAL,src/data/providers/nba/drbl-loader.ts,DRBL precomputed loader,4724,160,737e2690ddf73dd2022691a127bc94bc844c8b3562350beddd5a449001f32941
CRITICAL,src/data/types/player-season.ts,PlayerSeason contract incl DRBL fields,5203,166,6939f9b54d6b0f9b9baca51567a4ab98f02c9120128a30f221d4f48fcadbfccb
CRITICAL,src/data/queries/players.ts,Player query layer,21013,600,eb74a63da4d34c45ec7438424e548d8bc7179a4db3daa4499bc3ed3e95bfe1a4
CRITICAL,src/data/providers/index.ts,Provider selection,1410,44,30bb9d1d18778776daa5170bad222fd9cab12836114a648c7f91af9bfc31d119
CRITICAL,src/data/transformers/espn.ts,ESPN transformer,20122,659,e203c8c950b98898fc6d2b52757fb944e959fcd46ab1544f27ddba4106284163
CRITICAL,src/data/transformers/player-season-defaults.ts,Player season defaults,2352,105,d3ab2b6885cc6fd02bbc6e182dea25affd05729d2ab8e4e832adea77c5e8d182
CRITICAL,src/data/providers/nba/compute-advanced.ts,Advanced stats compute,5975,208,90768103a8140dc68846f5a6ab2c0498796ea39339cb42bfcb5a59d0647842bd
CRITICAL,src/lib/stat-glossary.ts,Public metric definitions,11751,309,ba246b29298a97e38a9a77cde9ec8434ee23a6fa709a798a2536ec4716214981
CRITICAL,src/lib/player-season-sort.ts,Season sort/rank semantics,1601,76,955bb28f457f62f1f9717df2f4ab9d9503e4475a53e1dc78e337747fcfb0b838
CRITICAL,src/lib/player-explore-sort.ts,Explore board sort,6546,253,9eee641bf2bfc9bb785723a286393364c06d478a6766e04e11eb85eaecdfc0a9
CRITICAL,src/components/explore/player-season-table.tsx,DRBL board UI,24910,688,75225a3f061ad22fc7094ca4031c96c2502a392695caa55bc7903d533854052e
CRITICAL,src/components/explore/drbl-season-support-notice.tsx,Support notice,2336,76,3db205cfcf9456088eebf0f2fa00656f87842e7bd745ec2ff33449e19bff6719
CRITICAL,src/app/explore/players/page.tsx,Players explore route,6207,173,e0f3c54c5df6e04a6723a23f9a1cbdff49f4a16bc19ab8caa38c5c25fd1142c1
CRITICAL,src/app/learn/drbl/page.tsx,DRBL methodology page,6880,166,1ca7ec3d89829a7b383b69f7a123e7ddd3c82e766ff8a7d0d6f458233ffe4755
CRITICAL,src/app/players/[playerId]/page.tsx,Player destination,7686,217,2a295b59929bbd32e30219b6ad90d3e0f9e20030776a28a81683c0e7906bc2ea
CRITICAL,src/app/teams/[teamId]/page.tsx,Team destination,21012,600,13987341aaab28fbd1baa9f54dcaada7718cf607f0aee18e9dba157289696a58
CRITICAL,src/app/page.tsx,Home,3140,99,e777582305bd1f5d08d63af7ccb9003cd73caede01203befd06d45ac9b60ef28
CRITICAL,src/app/ask/page.tsx,Ask route,2292,80,fbfc9d3bce1922fc2a056209ddef1cf6d70b7616684a2287c304e8b6a0d80d90
CRITICAL,src/app/layout.tsx,Root layout,1550,54,aafd163d9aaf4e468f67657b34549ae37401ad7c58d67ad78a7361cd8699f080
CRITICAL,drbl/types.ts,DRBL core types,5067,209,9d6ad4802842bbfc4c33f73b8fe09ea99c9cccb77adee8bb7b7b7ea8d9cc7c0a
CRITICAL,drbl/models/validated-ability-v1.ts,Validated ability model,5005,130,1cb6f78a6e01f1c497a41225b1a13a950551021c6bf0b600e047d6ffb2eeb82b
CRITICAL,drbl/models/validated-ability-cutover.ts,Ability cutover,5256,162,4d1ee096fbc5361dd3ca74dd7c8318994a134a19af4fec66a7125ceace3e9807
CRITICAL,drbl/models/research-ability-v1.ts,Research ability,3184,91,e75ef28af7e31f6a13c85b3a63e0c7f2b4d8483af44f93dfd7007e56d9e444a0
CRITICAL,drbl/models/research-rate-v1.ts,Research rate,4201,138,e2811aed883a8e795033342faf933af500665af11a3080dbc944f1ad16f1744e
CRITICAL,drbl/models/player-value.ts,Player value,31542,896,a8969688905417f7f1982d12293a3950b2082e6f8302bb52a0dbb32b7e631e03
