season,teamId,playerName,nbaPlayerId,espnPlayerId,drbl100,actualPossessions,drblRank,sampleRoute,joinStatus,tierB_notice_expected,identity_ok,drbl_snapshot_expected,r1_expected
2020-21,1610612737,"Trae Young",1629027,4277905,-0.67,8775,478,/players/4277905?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612738,"Jayson Tatum",1628369,4065648,0.77,9312,60,/players/4065648?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612739,"Isaac Okoro",1630171,4432822,-0.45,8842,407,/players/4432822?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612740,"Eric Bledsoe",202339,,-0.87,8803,496,/players/202339?season=2020-21,nba_id_only,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612741,"Coby White",1629632,4395651,-0.57,8983,447,/players/4395651?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612742,"Luka Doncic",1629029,3945274,-0.22,9255,333,/players/3945274?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612743,"Nikola Jokic",203999,3112335,1.35,10124,13,/players/3112335?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2020-21,1610612744,"Andrew Wiggins",203952,3059319,0.07,9953,248,/players/3059319?season=2020-21,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612737,"Trae Young",1629027,4277905,-0.08,10880,318,/players/4277905?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612738,"Jayson Tatum",1628369,4065648,0.87,11013,40,/players/4065648?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612739,"Darius Garland",1629636,4396907,-0.03,9704,291,/players/4396907?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612740,"Herbert Jones",1630529,4277813,0.64,9496,75,/players/4277813?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612741,"DeMar DeRozan",201942,3978,0.75,11145,55,/players/3978?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612742,"Dorian Finney-Smith",1627827,,0.69,10356,71,/players/1627827?season=2021-22,unique_name_only_excluded,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612743,"Nikola Jokic",203999,3112335,1.79,10211,3,/players/3112335?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2021-22,1610612744,"Andrew Wiggins",203952,3059319,0.52,9584,101,/players/3059319?season=2021-22,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612737,"Dejounte Murray",1627749,3907497,-0.32,11165,375,/players/3907497?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612738,"Jayson Tatum",1628369,4065648,1.00,11219,38,/players/4065648?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612739,"Evan Mobley",1630596,4432158,0.20,10780,179,/players/4432158?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612740,"CJ McCollum",203468,2490149,-0.70,10984,456,/players/2490149?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612741,"Zach LaVine",203897,3064440,0.70,11338,77,/players/3064440?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612742,"Spencer Dinwiddie",203915,2580782,-0.21,10884,341,/players/2580782?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612743,"Kentavious Caldwell-Pope",203484,2581018,0.36,9923,134,/players/2581018?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2022-23,1610612744,"Jordan Poole",1629673,4277956,-0.56,10466,432,/players/4277956?season=2022-23,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612737,"Dejounte Murray",1627749,3907497,0.14,11683,213,/players/3907497?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612738,"Jayson Tatum",1628369,4065648,0.81,10748,55,/players/4065648?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612739,"Jarrett Allen",1628386,4066328,0.94,9848,39,/players/4066328?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612740,"Herbert Jones",1630529,4277813,0.70,9497,73,/players/4277813?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612741,"DeMar DeRozan",201942,3978,1.03,12010,30,/players/3978?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612742,"Luka Doncic",1629029,3945274,1.10,11073,24,/players/3945274?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612743,"Nikola Jokic",203999,3112335,2.25,11154,1,/players/3112335?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
2023-24,1610612744,"Stephen Curry",201939,3975,1.23,10144,17,/players/3975?season=2023-24,approved_alias,YES,YES,YES_if_joined,YES_if_joined
