player,playerId,oldRank,newRank,rankChange,oldRankingScore,newRankingScore,actualPossessions,posteriorAbilityRate,abilityStandardError,seasonWar,eligibilityStatus
Shai Gilgeous-Alexander,1628983,6,1,5,1.52,10.014667,9235,1.5171,0.5844,10.0147,eligible
Kawhi Leonard,202695,8,2,6,1.22,8.164,8540,1.2214,1.3952,8.164,eligible
Jalen Duren,1631105,9,3,6,1.2,6.643333,8146,1.2005,1.4151,6.6433,eligible
Tyrese Maxey,1630178,27,4,23,0.77,5.550333,10951,0.766,1.4702,5.5503,eligible
Victor Wembanyama,1641705,55,5,50,0.55,5.446667,7784,0.546,0.6436,5.4467,eligible
Kevin Durant,201142,53,6,47,0.56,5.317667,11517,0.5603,2.1611,5.3177,eligible
Donovan Mitchell,1628378,24,7,17,0.79,5.29,9900,0.794,1.1026,5.29,eligible
Nikola Jokić,203999,30,8,22,0.75,5.177,9758,0.7545,1.0276,5.177,eligible
Anthony Edwards,1630162,17,9,8,0.94,4.906,8938,0.939,1.266,4.906,eligible
Lauri Markkanen,1628374,2,10,-8,1.91,4.792,6266,1.9137,1.076,4.792,eligible
Kon Knueppel,1642851,43,11,32,0.67,4.678333,10376,0.6671,1.1235,4.6783,eligible
Desmond Bane,1630217,96,12,84,0.34,4.294667,11232,0.3439,1.2683,4.2947,eligible
Norman Powell,1626181,34,13,21,0.73,4.158667,7564,0.7307,1.1851,4.1587,eligible
Luka Dončić,1629029,79,14,65,0.41,4.039,9501,0.4113,0.645,4.039,eligible
Zion Williamson,1629627,41,15,26,0.68,4.018333,7789,0.6825,1.4609,4.0183,eligible
Trey Murphy III,1630530,51,16,35,0.58,3.952667,9748,0.5781,1.8641,3.9527,eligible
Chet Holmgren,1631096,91,17,74,0.36,3.798667,8379,0.3614,1.0799,3.7987,eligible
Ayo Dosunmu,1630245,80,18,62,0.41,3.791333,8119,0.4099,2.0185,3.7913,eligible
Nickeil Alexander-Walker,1629638,263,19,244,-0.06,3.629333,11222,-0.0589,0.791,3.6293,eligible
Isaiah Joe,1630198,76,20,56,0.42,3.615667,6182,0.4165,1.7516,3.6157,eligible
Giannis Antetokounmpo,203507,10,21,-11,1.17,3.606667,4232,1.1745,0.7112,3.6067,eligible
Neemias Queta,1629674,60,22,38,0.5,3.577333,7536,0.4968,0.7827,3.5773,eligible
Jimmy Butler III,202710,1,23,-22,2.31,3.534667,4853,2.3099,1.2939,3.5347,eligible
Javonte Green,1629750,112,24,88,0.28,3.359,6387,0.2812,1.1639,3.359,eligible
OG Anunoby,1628384,149,25,124,0.16,3.352667,8823,0.1565,0.9379,3.3527,eligible
Keldon Johnson,1629640,18,26,-8,0.94,3.319,8028,0.9367,1.4211,3.319,eligible
Sandro Mamukelashvili,1630572,61,27,34,0.5,3.172667,7199,0.4962,1.3717,3.1727,eligible
Stephen Curry,201939,36,28,8,0.72,3.001667,5745,0.7248,0.3479,3.0017,eligible
