rank,playerId,playerName,teamId,possessions,drbl100,drblP,drblLn,drblB,drblO,drblD,sdv100,shotMaking100,epvShootMean,vContMean,drblWar,seasonalImpact,drblL,meanLeverage,disagreement,uncertainty,intervalLo,intervalHi
1,1631157,Ryan Rollins,1610612749,308,1.45,1.53,2.13,-0.1,-0.07,2.26,0.43,-0.68,1.101,1.063,0.26,7.78,12.01,0.892,0.94,2.64,-1.19,4.09
2,1631116,Patrick Baldwin Jr.,1610612764,224,1.36,1.85,1.26,0.15,0.49,2.03,-0.41,0.03,1.058,1.113,0.26,7.83,4.15,0.602,0.7,2.87,-1.51,4.23
3,1631096,Chet Holmgren,1610612760,1134,1.11,1.12,1.66,0.09,-0.33,2.26,3.63,0.51,1.121,1.019,0.5,14.93,13.93,0.904,0.65,1.47,-0.36,2.58
4,1629684,Grant Williams,1610612766,1958,1.04,0.43,2.53,-0.43,0.86,-0.07,-0.93,1.55,1.057,1.081,0.31,9.28,21.77,1.19,1.24,1.53,-0.49,2.57
5,1629001,De'Anthony Melton,1610612744,527,0.99,0.66,1.93,-0.04,-0.29,1.31,-2.13,0.61,1.027,1.127,0.16,4.77,9.82,0.988,0.82,2.07,-1.08,3.06
6,1630537,Chris Duarte,1610612741,221,0.82,1.34,0.88,-0.13,0.82,1,0.42,1.46,1.101,1.05,0.19,5.63,8.15,0.675,0.61,2.84,-2.02,3.66
7,201988,Patty Mills,1610612762,597,0.82,0.12,2.11,-0.08,-0.04,0.24,-0.92,-1.06,1.014,1.083,0.03,0.97,-1.79,0.871,0.99,2.07,-1.25,2.89
8,203914,Gary Harris,1610612753,1163,0.69,0.11,1.8,-0.15,-0.16,0.36,-1.79,0.98,1.041,1.118,0.05,1.5,2.71,0.897,0.86,1.57,-0.88,2.26
9,1629627,Zion Williamson,1610612740,792,0.69,0.22,1.6,0.01,1.09,-0.74,-2.4,-1.73,0.974,1.044,0.07,2.16,8.44,1.022,0.7,1.71,-1.02,2.4
10,1630264,Anthony Gill,1610612764,640,0.63,0.96,1.26,-0.19,0.28,1.28,0.39,0.7,1.102,1.075,0.27,8.06,5.54,0.704,0.62,1.81,-1.18,2.44
11,1642280,Trentyn Flowers,1610612746,62,0.6,1.16,0,-0.11,-0.15,1.47,-0.56,-0.53,1.012,1.141,0.1,3.04,1.76,0.567,0.57,4,-3.4,4.6
12,1629659,Talen Horton-Tucker,1610612741,1180,0.59,0.89,2.26,-0.12,1.43,0.13,0.77,4.26,1.122,1.101,0.41,12.35,11.16,0.915,0.97,1.62,-1.03,2.21
13,1631306,Cole Swider,1610612765,53,0.58,0.93,0.28,-0.02,0.56,0.48,-0.26,-2.55,1.047,1.152,0.08,2.35,2,0.984,0.39,4,-3.42,4.58
14,203999,Nikola Jokić,1610612743,3468,0.57,1.79,4.61,0.41,3.37,0.01,2.76,8.03,1.122,1.082,2.18,65.54,83.22,1.114,1.75,1.6,-1.03,2.17
15,1629646,Charles Bassey,1610612759,817,0.56,0.19,1.44,0.04,0.3,0.02,0.57,0.69,1.096,1.073,0.07,1.96,3.65,0.921,0.63,1.65,-1.09,2.21
16,1630551,Justin Champagnie,1610612764,777,0.54,0.63,0.73,-0.03,1.34,-0.28,1.35,3.37,1.109,1.054,0.21,6.18,6.66,0.936,0.34,1.52,-0.98,2.06
17,202692,Alec Burks,1610612748,612,0.51,1.25,2.56,0.25,0.82,1.19,-0.34,0.22,1.092,1.113,0.34,10.16,12.24,1.166,0.95,2.03,-1.52,2.54
18,1641890,Tyler Smith,1610612749,158,0.5,1.21,0.21,-0.15,-0.86,2.43,0.05,2.22,1.098,1.09,0.14,4.34,4.93,0.871,0.57,3.27,-2.77,3.77
19,1630572,Sandro Mamukelashvili,1610612759,726,0.47,1.19,1.91,-0.31,0,1.94,1.08,5.94,1.124,1.074,0.37,10.97,12.84,0.919,0.92,1.89,-1.42,2.36
20,1630543,Isaiah Jackson,1610612754,363,0.47,0.37,0.86,-0.01,0.21,0.32,0.97,1.04,1.116,1.023,0.07,2.06,-0.37,0.904,0.36,2.15,-1.68,2.62
21,1642358,AJ Johnson,1610612749,51,0.43,0.74,0.15,-0.11,-0.31,1.13,-0.32,0.43,1.019,1.127,0.06,1.85,2.75,1.029,0.36,4,-3.57,4.43
