rank,playerId,playerName,teamId,rankingMode,finalRankingScore,actualPossessions,eligibilityStatus,rawAbilityRate,posteriorAbilityRate,abilityStandardError,uncertainty,displayUncertainty,intervalLo,intervalHi,intervalConfidence,drbl100,drblP,drblLn,drblB,componentDisagreementIndex,seasonalImpact,seasonWar,drblWar,forecastPossessions,forecastImpact,forecastWar,priorEquivalentPossessions,reliabilityWeight,pointsPerWin,replacementLevelRate,rankingFormulaVersion,oldRank
1,1630529,Herbert Jones,1610612740,forecast_value,1.7804,2686,eligible,0.4559,2.1365,2.8131,3.6,3.6,-1.46,5.74,0.8,2.14,0.42,5.71,-0.05,1.4,12.24,0.408,0.41,2500,53.41,1.7804,200,0.9307,30,0,2.2.0,1
2,1641705,Victor Wembanyama,1610612759,forecast_value,1.4183,6024,eligible,0.6765,1.7019,1.2424,1.59,1.59,0.11,3.29,0.8,1.7,0.65,3.86,0.2,0.62,40.75,1.3583,1.36,2500,42.55,1.4183,200,0.9679,30,0,2.2.0,2
3,203999,Nikola Jokić,1610612743,forecast_value,1.2763,10737,eligible,2.6742,1.5315,0.8499,1.09,1.09,0.44,2.62,0.8,1.53,2.63,6.17,0.45,0.42,287.12,9.5707,9.57,2500,38.29,1.2763,200,0.9817,30,0,2.2.0,3
4,1642024,Alex Reese,1610612760,forecast_value,1.269,999,eligible,0.9317,1.5228,2.2302,2.85,2.85,-1.33,4.38,0.8,1.52,0.78,4.09,-0.14,1.1,9.31,0.3103,0.31,2500,38.07,1.269,200,0.8332,30,0,2.2.0,4
5,202710,Jimmy Butler,1610612748,forecast_value,1.1018,6970,eligible,1.8862,1.3221,3.602,4.61,4,-3.29,5.93,0.8,1.32,1.83,0.16,-0.57,1.8,131.47,4.3823,4.38,2500,33.05,1.1018,200,0.9721,30,0,2.2.0,5
6,1631342,Daeqwon Plowden,1610612737,forecast_value,1.1013,291,eligible,4.3848,1.3216,2.3681,3.03,3.03,-1.71,4.35,0.8,1.32,2.6,0.49,-0.07,1.13,12.76,0.4253,0.43,2500,33.04,1.1013,200,0.5927,30,0,2.2.0,7
7,1630532,Franz Wagner,1610612753,forecast_value,1.0982,8188,eligible,1.3266,1.3178,1.409,1.8,1.8,-0.49,3.12,0.8,1.32,1.29,4.24,0.07,0.7,108.62,3.6207,3.62,2500,32.95,1.0982,200,0.9762,30,0,2.2.0,6
8,1629006,Josh Okogie,1610612756,forecast_value,1.0888,2524,eligible,2.081,1.3065,2.3957,3.07,3.07,-1.76,4.37,0.8,1.31,1.93,3.01,-0.21,1.19,52.53,1.751,1.75,2500,32.66,1.0888,200,0.9266,30,0,2.2.0,8
9,1628983,Shai Gilgeous-Alexander,1610612760,forecast_value,1.0802,10880,eligible,2.7644,1.2962,2.8941,3.7,3.7,-2.41,5,0.8,1.3,2.71,5.66,-0.09,1.45,300.77,10.0257,10.03,2500,32.41,1.0802,200,0.9819,30,0,2.2.0,9
10,1631106,Tari Eason,1610612745,forecast_value,1.0313,5836,eligible,1.7842,1.2376,0.6607,0.85,0.85,0.39,2.08,0.8,1.24,1.73,2.47,0.11,0.32,104.12,3.4707,3.47,2500,30.94,1.0313,200,0.9669,30,0,2.2.0,10
11,1631116,Patrick Baldwin Jr.,1610612764,forecast_value,1.0173,429,eligible,4.6818,1.2208,2.319,2.97,2.97,-1.75,4.19,0.8,1.22,3.19,2.46,0,1.12,20.08,0.6693,0.67,2500,30.52,1.0173,200,0.682,30,0,2.2.0,11
12,1628449,Chris Boucher,1610612761,forecast_value,1.0005,3459,eligible,2.0391,1.2006,1.091,1.4,1.4,-0.2,2.6,0.8,1.2,1.93,2.97,0.06,0.54,70.53,2.351,2.35,2500,30.01,1.0005,200,0.9453,30,0,2.2.0,12
13,1626181,Norman Powell,1610612746,forecast_value,0.9758,8057,eligible,2.1189,1.1709,1.7935,2.3,2.3,-1.12,3.47,0.8,1.17,2.07,1.33,-0.1,0.89,170.72,5.6907,5.69,2500,29.27,0.9758,200,0.9758,30,0,2.2.0,13
