rank,playerId,playerName,teamId,rankingMode,finalRankingScore,actualPossessions,eligibilityStatus,rawAbilityRate,posteriorAbilityRate,abilityStandardError,uncertainty,displayUncertainty,intervalLo,intervalHi,intervalConfidence,drbl100,drblP,drblLn,drblB,componentDisagreementIndex,seasonalImpact,seasonWar,drblWar,forecastPossessions,forecastImpact,forecastWar,priorEquivalentPossessions,reliabilityWeight,pointsPerWin,replacementLevelRate,rankingFormulaVersion,oldRank
1,1628983,Shai Gilgeous-Alexander,1610612760,season_value,10.025667,10880,eligible,2.7644,1.2962,2.8941,3.7,3.7,-2.41,5,0.8,1.3,2.71,5.66,-0.09,1.45,300.77,10.0257,10.03,2500,32.41,1.0802,200,0.9819,30,0,2.2.0,9
2,203999,Nikola Jokić,1610612743,season_value,9.570667,10737,eligible,2.6742,1.5315,0.8499,1.09,1.09,0.44,2.62,0.8,1.53,2.63,6.17,0.45,0.42,287.12,9.5707,9.57,2500,38.29,1.2763,200,0.9817,30,0,2.2.0,3
3,1626181,Norman Powell,1610612746,season_value,5.690667,8057,eligible,2.1189,1.1709,1.7935,2.3,2.3,-1.12,3.47,0.8,1.17,2.07,1.33,-0.1,0.89,170.72,5.6907,5.69,2500,29.27,0.9758,200,0.9758,30,0,2.2.0,13
4,1631128,Christian Braun,1610612743,season_value,5.207333,11046,eligible,1.4143,0.5697,1.4394,1.84,1.84,-1.27,2.41,0.8,0.57,1.39,1.66,-0.13,0.72,156.22,5.2073,5.21,2500,14.24,0.4748,200,0.9822,30,0,2.2.0,65
5,1630202,Payton Pritchard,1610612738,season_value,4.983333,9025,eligible,1.6565,0.9881,1.5836,2.03,2.03,-1.04,3.02,0.8,0.99,1.62,-0.46,-0.03,0.79,149.5,4.9833,4.98,2500,24.7,0.8234,200,0.9783,30,0,2.2.0,19
6,203507,Giannis Antetokounmpo,1610612749,season_value,4.688667,9335,eligible,1.5068,0.3916,4.1589,5.32,4,-4.93,5.72,0.8,0.39,1.48,5.66,-0.42,2.08,140.66,4.6887,4.69,2500,9.79,0.3263,200,0.979,30,0,2.2.0,109
7,1627826,Ivica Zubac,1610612746,season_value,4.63,10739,eligible,1.2934,0.6676,1.3212,1.69,1.69,-1.02,2.36,0.8,0.67,1.27,3.74,0.03,0.66,138.9,4.63,4.63,2500,16.69,0.5563,200,0.9817,30,0,2.2.0,46
8,1628991,Jaren Jackson Jr.,1610612763,season_value,4.514667,9713,eligible,1.3944,0.872,1.1734,1.5,1.5,-0.63,2.37,0.8,0.87,1.37,2.31,-0.05,0.58,135.44,4.5147,4.51,2500,21.8,0.7267,200,0.9798,30,0,2.2.0,27
9,1628386,Jarrett Allen,1610612739,season_value,4.51,9655,eligible,1.4014,0.6368,2.6514,3.39,3.39,-2.76,4.03,0.8,0.64,1.37,0.19,-0.43,1.32,135.3,4.51,4.51,2500,15.92,0.5307,200,0.9797,30,0,2.2.0,52
10,202710,Jimmy Butler,1610612748,season_value,4.382333,6970,eligible,1.8862,1.3221,3.602,4.61,4,-3.29,5.93,0.8,1.32,1.83,0.16,-0.57,1.8,131.47,4.3823,4.38,2500,33.05,1.1018,200,0.9721,30,0,2.2.0,5
11,203497,Rudy Gobert,1610612750,season_value,4.357,9585,eligible,1.3637,0.5583,3.5814,4.58,4,-4.03,5.14,0.8,0.56,1.34,0.45,-0.63,1.79,130.71,4.357,4.36,2500,13.96,0.4652,200,0.9796,30,0,2.2.0,69
12,1627783,Pascal Siakam,1610612754,season_value,4.275667,10334,eligible,1.2412,0.5396,1.8862,2.41,2.41,-1.87,2.95,0.8,0.54,1.22,3.19,-0.15,0.94,128.27,4.2757,4.28,2500,13.49,0.4497,200,0.981,30,0,2.2.0,72
13,1631165,Keon Ellis,1610612758,season_value,4.080667,8023,eligible,1.5258,0.9171,0.7643,0.98,0.98,-0.06,1.9,0.8,0.92,1.49,1.99,0.04,0.38,122.42,4.0807,4.08,2500,22.93,0.7642,200,0.9757,30,0,2.2.0,23
14,1627736,Malik Beasley,1610612765,season_value,4.000667,9795,eligible,1.2254,0.6076,1.0339,1.32,1.32,-0.72,1.93,0.8,0.61,1.2,-0.03,0.1,0.51,120.02,4.0007,4,2500,15.19,0.5063,200,0.98,30,0,2.2.0,58
15,1628384,OG Anunoby,1610612752,season_value,3.921,10928,eligible,1.0764,0.3044,0.517,0.66,0.66,-0.36,0.97,0.8,0.3,1.06,1.19,0.02,0.25,117.63,3.921,3.92,2500,7.61,0.2537,200,0.982,30,0,2.2.0,133
16,1629631,De'Andre Hunter,1610612737,season_value,3.75,7330,eligible,1.5348,0.8664,2.7779,3.56,3.56,-2.69,4.42,0.8,0.87,1.49,1.88,-0.39,1.39,112.5,3.75,3.75,2500,21.66,0.722,200,0.9734,30,0,2.2.0,28
