rank,playerId,playerName,teamId,rankingMode,finalRankingScore,actualPossessions,eligibilityStatus,rawAbilityRate,posteriorAbilityRate,abilityStandardError,uncertainty,displayUncertainty,intervalLo,intervalHi,intervalConfidence,drbl100,drblP,drblLn,drblB,componentDisagreementIndex,seasonalImpact,seasonWar,drblWar,forecastPossessions,forecastImpact,forecastWar,priorEquivalentPossessions,reliabilityWeight,pointsPerWin,replacementLevelRate,rankingFormulaVersion,oldRank
1,202710,Jimmy Butler III,1610612744,ability,2.3099,4853,eligible,2.185,2.3099,1.2939,1.66,1.66,0.65,3.97,0.8,2.31,2.1,3.78,0.48,0.64,106.04,3.5347,3.53,2500,57.75,1.9249,200,0.9604,30,0,2.2.0,1
2,1628374,Lauri Markkanen,1610612762,ability,1.9137,6266,eligible,2.2942,1.9137,1.076,1.38,1.38,0.54,3.29,0.8,1.91,2.22,2.72,0.03,0.53,143.76,4.792,4.79,2500,47.84,1.5948,200,0.9691,30,0,2.2.0,2
3,1630604,E.J. Liddell,1610612751,ability,1.8133,1413,eligible,0.931,1.8133,0.5877,0.75,0.75,1.06,2.57,0.8,1.81,0.82,0.44,-0.01,0.25,13.15,0.4383,0.44,2500,45.33,1.5111,200,0.876,30,0,2.2.0,3
4,1641744,Zach Edey,1610612763,ability,1.7426,1182,eligible,1.3907,1.7426,1.8974,2.43,2.43,-0.69,4.17,0.8,1.74,1.19,4.16,-0.1,0.93,16.44,0.548,0.55,2500,43.56,1.4522,200,0.8553,30,0,2.2.0,4
5,1629680,Matisse Thybulle,1610612757,ability,1.6035,2049,eligible,2.6155,1.6035,1.3701,1.75,1.75,-0.15,3.36,0.8,1.6,2.38,1.12,0.12,0.67,53.59,1.7863,1.79,2500,40.09,1.3362,200,0.9111,30,0,2.2.0,5
6,1628983,Shai Gilgeous-Alexander,1610612760,ability,1.5171,9235,eligible,3.2533,1.5171,0.5844,0.75,0.75,0.77,2.27,0.8,1.52,3.18,5.01,0.29,0.29,300.44,10.0147,10.01,2500,37.93,1.2642,200,0.9788,30,0,2.2.0,6
7,1642357,David Jones Garcia,1610612759,ability,1.3031,328,eligible,3.1666,1.3031,1.9166,2.45,2.45,-1.15,3.76,0.8,1.3,1.97,3.43,-0.11,0.9,10.39,0.3463,0.35,2500,32.58,1.0859,200,0.6212,30,0,2.2.0,7
8,202695,Kawhi Leonard,1610612746,ability,1.2214,8540,eligible,2.8679,1.2214,1.3952,1.79,1.79,-0.56,3.01,0.8,1.22,2.8,3.81,0.06,0.69,244.92,8.164,8.16,2500,30.54,1.0178,200,0.9771,30,0,2.2.0,8
9,1631105,Jalen Duren,1610612765,ability,1.2005,8146,eligible,2.4466,1.2005,1.4151,1.81,1.81,-0.61,3.01,0.8,1.2,2.39,2.01,-0.01,0.7,199.3,6.6433,6.64,2500,30.01,1.0004,200,0.976,30,0,2.2.0,9
10,203507,Giannis Antetokounmpo,1610612749,ability,1.1745,4232,eligible,2.5566,1.1745,0.7112,0.91,0.91,0.26,2.08,0.8,1.17,2.44,3.85,0.4,0.34,108.2,3.6067,3.61,2500,29.36,0.9788,200,0.9549,30,0,2.2.0,10
11,1629021,Moritz Wagner,1610612753,ability,1.1334,1791,eligible,-0.4405,1.1334,1.4547,1.86,1.86,-0.73,3,0.8,1.13,-0.4,-0.71,0.09,0.71,-7.89,-0.263,-0.26,2500,28.34,0.9445,200,0.8995,30,0,2.2.0,11
12,1630241,Sam Merrill,1610612739,ability,1.0526,5636,eligible,1.396,1.0526,1.7448,2.23,2.23,-1.18,3.29,0.8,1.05,1.35,1.62,-0.23,0.87,78.68,2.6227,2.62,2500,26.32,0.8772,200,0.9657,30,0,2.2.0,12
13,1643018,LJ Cryer,1610612744,ability,1.0273,1119,eligible,0.207,1.0273,1.9422,2.49,2.49,-1.46,3.51,0.8,1.03,0.18,3.16,-0.2,0.95,2.32,0.0773,0.08,2500,25.68,0.8561,200,0.8484,30,0,2.2.0,13
14,1631103,Malaki Branham,1610612764,ability,1.0217,1102,eligible,1.7969,1.0217,1.1225,1.44,1.44,-0.42,2.46,0.8,1.02,1.52,1.53,-0.08,0.53,19.8,0.66,0.66,2500,25.54,0.8514,200,0.8464,30,0,2.2.0,14
15,1629639,Tyler Herro,1610612748,ability,0.9951,4431,eligible,0.9819,0.9951,1.4682,1.88,1.88,-0.88,2.87,0.8,1,0.94,-0.33,-0.25,0.73,43.51,1.4503,1.45,2500,24.88,0.8293,200,0.9568,30,0,2.2.0,15
16,1629660,Ty Jerome,1610612763,ability,0.973,1421,eligible,1.3541,0.973,0.9623,1.23,1.23,-0.26,2.2,0.8,0.97,1.19,0.64,-0.09,0.45,19.24,0.6413,0.64,2500,24.32,0.8108,200,0.8766,30,0,2.2.0,16
17,1630162,Anthony Edwards,1610612750,ability,0.939,8938,eligible,1.6467,0.939,1.266,1.62,1.62,-0.68,2.56,0.8,0.94,1.61,0.06,0.01,0.63,147.18,4.906,4.91,2500,23.48,0.7825,200,0.9781,30,0,2.2.0,17
18,1629640,Keldon Johnson,1610612759,ability,0.9367,8028,eligible,1.2403,0.9367,1.4211,1.82,1.82,-0.88,2.76,0.8,0.94,1.21,-0.11,-0.19,0.71,99.57,3.319,3.32,2500,23.42,0.7806,200,0.9757,30,0,2.2.0,18
19,1642504,Cormac Ryan,1610612749,ability,0.9249,1075,eligible,2.9751,0.9249,1.9899,2.55,2.55,-1.62,3.47,0.8,0.92,2.51,0,0.09,0.98,31.98,1.066,1.07,2500,23.12,0.7707,200,0.8431,30,0,2.2.0,19
