player,playerId,oldRank,newRank,oldWar,newWar,possessions,creationPer100,connectionPer100,executionPer100
Shai Gilgeous-Alexander,1628983,2,1,25.440480170203234,10.03,10880,1.16,0.05,6.69
Nikola Jokić,203999,1,2,28.914181240578213,9.57,10737,0.91,0.07,6.31
Norman Powell,1626181,5,3,17.317831326173835,5.69,8057,0.82,0.02,4.64
Christian Braun,1631128,14,4,13.732648605099087,5.21,11046,0.42,0.02,4.02
Payton Pritchard,1630202,6,5,16.911760834133176,4.98,9025,0.3,0.03,4.12
Giannis Antetokounmpo,203507,38,6,9.099505658967447,4.69,9335,1.4,0.09,5.88
Ivica Zubac,1627826,11,7,14.935679277215945,4.63,10739,0.51,0.02,3.98
Jaren Jackson Jr.,1628991,9,8,16.501235206075247,4.51,9713,0.84,0.02,4.34
Jarrett Allen,1628386,16,9,12.979831607493702,4.51,9655,0.51,0.02,3.8
Jimmy Butler,202710,8,10,16.569910501496995,4.38,6970,1.12,0.09,3.51
Rudy Gobert,203497,22,11,11.751597318857993,4.36,9585,0.47,0.02,3.24
Pascal Siakam,1627783,20,12,12.378621575694941,4.28,10334,0.64,0.02,4.14
Keon Ellis,1631165,13,13,14.175524124795631,4.08,8023,0.32,0.03,2.53
Malik Beasley,1627736,17,14,12.736932714199042,4,9795,0.34,0.02,3.57
OG Anunoby,1628384,35,15,9.215977236853728,3.92,10928,0.46,0.02,3.38
De'Andre Hunter,1629631,18,16,12.390929007642773,3.75,7330,0.79,0.02,4.03
Stephen Curry,201939,62,17,7.247882125850325,3.66,9434,0.7,0.04,5.26
Franz Wagner,1630532,3,18,19.412414798364516,3.62,8188,0.89,0.05,4.47
Dyson Daniels,1630700,19,19,12.3849570724327,3.52,10870,0.37,0.06,2.54
Ty Jerome,1629660,33,20,9.48951056003471,3.48,5795,0.53,0.05,4.78
Harrison Barnes,203084,44,21,8.297051660250744,3.48,9064,0.53,0.03,3.12
Tari Eason,1631106,15,22,13.130716725806106,3.47,5836,0.4,0.02,3.57
Evan Mobley,1630596,21,23,12.023224355703741,3.16,9051,0.67,0.03,4.23
Anthony Edwards,1630162,48,24,8.076153062750945,3.16,11610,0.93,0.06,4.61
