rank,playerId,playerName,actualPossessions,drblWar,seasonalImpact,drbl100,drblP,creationValuePer100,connectionValuePer100,conversionOpportunityPer100,executionValuePer100,turnoverValuePer100,defensiveValuePer100,finalRankingScore,rankingMode,sequentialAttributionVersion
1,1628983,Shai Gilgeous-Alexander,10880,10.03,300.77,1.08,2.71,1.16,0.05,-3.35,6.69,-2,0.23,10.025657,season_value,drbl-seq-attr-v1
2,203999,Nikola Jokić,10737,9.57,287.12,1.05,2.63,0.91,0.07,-2.02,6.31,-2.41,-0.18,9.570808,season_value,drbl-seq-attr-v1
3,1626181,Norman Powell,8057,5.69,170.72,0.82,2.07,0.82,0.02,-1.79,4.64,-1.6,0.04,5.690547,season_value,drbl-seq-attr-v1
4,1631128,Christian Braun,11046,5.21,156.22,0.55,1.39,0.42,0.02,-1.44,4.02,-0.89,-0.71,5.207379,season_value,drbl-seq-attr-v1
5,1630202,Payton Pritchard,9025,4.98,149.5,0.64,1.62,0.3,0.03,-1.37,4.12,-1.14,-0.27,4.983387,season_value,drbl-seq-attr-v1
6,203507,Giannis Antetokounmpo,9335,4.69,140.66,0.59,1.48,1.4,0.09,-3.18,5.88,-2.51,-0.15,4.688647,season_value,drbl-seq-attr-v1
7,1627826,Ivica Zubac,10739,4.63,138.9,0.51,1.27,0.51,0.02,-1.68,3.98,-1.46,-0.07,4.629882,season_value,drbl-seq-attr-v1
8,1628991,Jaren Jackson Jr.,9713,4.51,135.44,0.54,1.37,0.84,0.02,-1.9,4.34,-1.89,-0.01,4.5147,season_value,drbl-seq-attr-v1
9,1628386,Jarrett Allen,9655,4.51,135.3,0.55,1.37,0.51,0.02,-1.38,3.8,-1.18,-0.34,4.510098,season_value,drbl-seq-attr-v1
10,202710,Jimmy Butler,6970,4.38,131.47,0.72,1.83,1.12,0.09,-1.53,3.51,-1.25,-0.04,4.382215,season_value,drbl-seq-attr-v1
11,203497,Rudy Gobert,9585,4.36,130.71,0.53,1.34,0.47,0.02,-1.15,3.24,-1.14,-0.07,4.357112,season_value,drbl-seq-attr-v1
12,1627783,Pascal Siakam,10334,4.28,128.27,0.49,1.22,0.64,0.02,-2.07,4.14,-1.2,-0.28,4.275616,season_value,drbl-seq-attr-v1
13,1631165,Keon Ellis,8023,4.08,122.42,0.59,1.49,0.32,0.03,-0.56,2.53,-1.05,0.29,4.080589,season_value,drbl-seq-attr-v1
14,1627736,Malik Beasley,9795,4,120.02,0.48,1.2,0.34,0.02,-1.28,3.57,-1.08,-0.34,4.000795,season_value,drbl-seq-attr-v1
15,1628384,OG Anunoby,10928,3.92,117.63,0.42,1.06,0.46,0.02,-1.36,3.38,-1.16,-0.25,3.921081,season_value,drbl-seq-attr-v1
16,1629631,De'Andre Hunter,7330,3.75,112.5,0.59,1.49,0.79,0.02,-1.37,4.03,-1.3,-0.62,3.75014,season_value,drbl-seq-attr-v1
17,201939,Stephen Curry,9434,3.66,109.74,0.45,1.14,0.7,0.04,-1.77,5.26,-2.43,-0.61,3.657929,season_value,drbl-seq-attr-v1
18,1630532,Franz Wagner,8188,3.62,108.62,0.51,1.29,0.89,0.05,-2.31,4.47,-1.95,0.21,3.620632,season_value,drbl-seq-attr-v1
19,1630700,Dyson Daniels,10870,3.52,105.72,0.38,0.96,0.37,0.06,-1.09,2.54,-1.62,0.72,3.524112,season_value,drbl-seq-attr-v1
20,1629660,Ty Jerome,5795,3.48,104.42,0.68,1.74,0.53,0.05,-1.8,4.78,-1.91,0.16,3.480711,season_value,drbl-seq-attr-v1
21,203084,Harrison Barnes,9064,3.48,104.29,0.45,1.13,0.53,0.03,-0.78,3.12,-0.64,-1.11,3.476319,season_value,drbl-seq-attr-v1
22,1631106,Tari Eason,5836,3.47,104.12,0.68,1.73,0.4,0.02,-1.62,3.57,-1.36,0.79,3.470822,season_value,drbl-seq-attr-v1
23,1630596,Evan Mobley,9051,3.16,94.86,0.41,1.03,0.67,0.03,-1.77,4.23,-1.87,-0.23,3.162017,season_value,drbl-seq-attr-v1
24,1630162,Anthony Edwards,11610,3.16,94.65,0.32,0.8,0.93,0.06,-2.19,4.61,-2.4,-0.18,3.155015,season_value,drbl-seq-attr-v1
25,1628378,Donovan Mitchell,9308,3.11,93.31,0.39,0.98,0.97,0.08,-2.29,4.31,-1.85,-0.21,3.110471,season_value,drbl-seq-attr-v1
26,201942,DeMar DeRozan,11459,2.99,89.74,0.31,0.77,0.83,0.06,-2.44,4.26,-1.07,-0.85,2.991283,season_value,drbl-seq-attr-v1
27,1629675,Naz Reid,9046,2.94,88.33,0.38,0.96,0.37,0.04,-1.27,3.33,-1.41,-0.08,2.944372,season_value,drbl-seq-attr-v1
28,1630174,Aaron Nesmith,4464,2.94,88.28,0.74,1.89,0.4,0.01,-1.1,3.85,-0.85,-0.32,2.942799,season_value,drbl-seq-attr-v1
29,1630198,Isaiah Joe,6664,2.84,85.29,0.49,1.24,0.23,0.04,-1.22,3.19,-0.71,-0.23,2.842982,season_value,drbl-seq-attr-v1
30,1626157,Karl-Anthony Towns,10077,2.81,84.16,0.33,0.82,0.7,0.03,-2.08,4.87,-2.19,-0.49,2.805279,season_value,drbl-seq-attr-v1
31,202696,Nikola Vučević,9771,2.79,83.76,0.33,0.84,0.43,0.05,-1.46,3.76,-1.42,-0.5,2.792026,season_value,drbl-seq-attr-v1
32,1630169,Tyrese Haliburton,9847,2.76,82.82,0.33,0.82,0.51,0.07,-1.51,3.44,-1.42,-0.25,2.760782,season_value,drbl-seq-attr-v1
33,202681,Kyrie Irving,7454,2.68,80.39,0.42,1.05,0.63,0.03,-2.13,4.79,-1.77,-0.48,2.679558,season_value,drbl-seq-attr-v1
34,1629655,Daniel Gafford,5145,2.67,80.24,0.59,1.5,0.68,0.01,-1.56,4.7,-1.51,-0.75,2.674793,season_value,drbl-seq-attr-v1
35,1630183,Jaden McDaniels,10534,2.67,79.97,0.3,0.75,0.32,0.02,-1.14,2.54,-1.1,0.13,2.665682,season_value,drbl-seq-attr-v1
36,1629060,Rui Hachimura,7480,2.61,78.42,0.4,1.02,0.32,0.01,-1.2,3.17,-0.75,-0.48,2.613884,season_value,drbl-seq-attr-v1
37,203897,Zach LaVine,10890,2.6,78.04,0.28,0.7,0.61,0.04,-1.8,4.87,-2.16,-0.84,2.601296,season_value,drbl-seq-attr-v1
38,1628415,Dillon Brooks,9518,2.57,77,0.32,0.79,0.3,0.02,-1.22,3.08,-0.95,-0.4,2.566777,season_value,drbl-seq-attr-v1
39,1629627,Zion Williamson,3647,2.54,76.13,0.76,1.98,1.44,0.07,-2.47,5.91,-2.65,-0.21,2.537782,season_value,drbl-seq-attr-v1
40,1630534,Ochai Agbaji,7355,2.53,76.02,0.4,1.01,0.26,0.03,-0.87,2.61,-0.89,-0.08,2.534117,season_value,drbl-seq-attr-v1
41,1629639,Tyler Herro,10901,2.51,75.19,0.27,0.68,0.69,0.08,-1.8,4.46,-2.11,-0.62,2.506322,season_value,drbl-seq-attr-v1
42,1629661,Cameron Johnson,7215,2.5,74.98,0.4,1.01,0.75,0.06,-1.36,3.93,-1.64,-0.7,2.499169,season_value,drbl-seq-attr-v1
43,1627751,Jakob Pöltl,7060,2.46,73.86,0.4,1.02,0.6,0.05,-1.33,3.41,-1.77,0.11,2.462068,season_value,drbl-seq-attr-v1
44,1628436,Luke Kornet,5296,2.44,73.09,0.52,1.33,0.36,0.02,-1.17,2.97,-0.74,-0.04,2.436479,season_value,drbl-seq-attr-v1
45,1628449,Chris Boucher,3459,2.35,70.53,0.74,1.93,0.68,0.02,-1.1,3.74,-0.93,-0.36,2.35104,season_value,drbl-seq-attr-v1
46,1627884,Derrick Jones Jr.,7733,2.27,68.22,0.34,0.86,0.42,0,-1.11,2.74,-1.09,-0.08,2.273884,season_value,drbl-seq-attr-v1
47,1630166,Deni Avdija,8956,2.27,68,0.3,0.74,0.78,0.07,-1.31,3.99,-2.39,-0.37,2.266544,season_value,drbl-seq-attr-v1
48,1628381,John Collins,5113,2.26,67.94,0.5,1.28,0.74,0.03,-1.53,4.47,-2.31,-0.07,2.2647,season_value,drbl-seq-attr-v1
49,1629636,Darius Garland,9684,2.26,67.82,0.27,0.69,0.61,0.07,-1.88,4.65,-2.26,-0.49,2.260657,season_value,drbl-seq-attr-v1
50,1630573,Sam Hauser,6035,2.26,67.69,0.43,1.09,0.07,0.02,-0.88,2.92,-0.42,-0.57,2.256197,season_value,drbl-seq-attr-v1
51,1641708,Amen Thompson,9080,2.24,67.22,0.29,0.72,0.59,0.06,-1.44,3.05,-1.72,0.23,2.240537,season_value,drbl-seq-attr-v1
52,201142,Kevin Durant,9248,2.24,67.18,0.28,0.71,0.87,0.03,-2.11,5.16,-2.34,-0.87,2.239451,season_value,drbl-seq-attr-v1
53,1630168,Onyeka Okongwu,8921,2.22,66.66,0.29,0.73,0.61,0.04,-1.16,2.9,-1.17,-0.45,2.222087,season_value,drbl-seq-attr-v1
