file,line/context,old text,surface,allowed legacy/explanatory?,replacement,status
src/app/learn/drbl/page.tsx,"L232: traditional WAR. The name is intended as “Wins Above R1,” but the",Wins Above R1,app,yes,WAR1 (primary),ALLOWLISTED:EXPLANATORY_PROSE
src/content/stats/drbl-guides.ts,"L101: ""The name is intended as Wins Above R1 — but the public product label is WAR1, and it is not traditional replacement-level WAR."",",Wins Above R1,content,yes,WAR1 (primary),ALLOWLISTED:EXPLANATORY_PROSE
src/content/stats/drbl-guides.ts,"L127: ""WAR1 is DRBL's win-equivalent season-value statistic above its contextual R1 reference. Formally it is a fixed linear conversion of R1 Points by the frozen P1 ",Wins Above R1,content,yes,WAR1 (primary),ALLOWLISTED:EXPLANATORY_PROSE
src/lib/drbl-public-labels.ts,"L42: ""Wins Above R1"",",Wins Above R1,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L43: ""R1 Win Eq."",",R1 Win Eq.,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L44: ""R1 WinEq"",",R1 WinEq,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L45: ""R1 Win Equivalent"",",R1 Win Equivalent,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L45: ""R1 Win Equivalent"",",Win Equivalent,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L46: ""R1 Win Equivalents"",",R1 Win Equivalent,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L46: ""R1 Win Equivalents"",",R1 Win Equivalents,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L46: ""R1 Win Equivalents"",",Win Equivalent,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L46: ""R1 Win Equivalents"",",Win Equivalents,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L47: ""Wins over R1"",",Wins over R1,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L48: ""Win Equivalent"",",Win Equivalent,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L49: ""Win Equivalents"",",Win Equivalent,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/drbl-public-labels.ts,"L49: ""Win Equivalents"",",Win Equivalents,lib,yes,WAR1,ALLOWLISTED:BACKWARD_COMPATIBILITY
src/lib/learn-column-concepts.ts,"L37: ""Wins Above R1"": ""r1_win_eq"",",Wins Above R1,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/learn-column-concepts.ts,"L38: ""R1 Win Eq."": ""r1_win_eq"",",R1 Win Eq.,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/learn-column-concepts.ts,"L39: ""R1 Win Equivalents"": ""r1_win_eq"",",R1 Win Equivalent,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/learn-column-concepts.ts,"L39: ""R1 Win Equivalents"": ""r1_win_eq"",",R1 Win Equivalents,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/learn-column-concepts.ts,"L39: ""R1 Win Equivalents"": ""r1_win_eq"",",Win Equivalent,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/learn-column-concepts.ts,"L39: ""R1 Win Equivalents"": ""r1_win_eq"",",Win Equivalents,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L99: ""Wins Above R1"": {",Wins Above R1,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L104: ""R1 Win Eq."": {",R1 Win Eq.,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L109: ""R1 Win Equivalents"": {",R1 Win Equivalent,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L109: ""R1 Win Equivalents"": {",R1 Win Equivalents,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L109: ""R1 Win Equivalents"": {",Win Equivalent,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L109: ""R1 Win Equivalents"": {",Win Equivalents,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L265: ""Wins Above R1"": ""WAR1"",",Wins Above R1,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
src/lib/stat-glossary.ts,"L266: ""R1 Win Eq."": ""WAR1"",",R1 Win Eq.,lib,yes,WAR1,ALLOWLISTED:LEGACY_ALIAS
